country_name,country_code,Region,cpi_score_2019,rank,standard error ,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,WE/EU,87,1,2.54,8,82.83,91.17,,97,,90,,83,94,,93,77,,79,86
New Zealand,NZL,AP,87,1,2.29,8,83.25,90.75,,97,,90,,83,83,,93,77,,89,82
Finland,FIN,WE/EU,86,3,2.92,8,81.2,90.8,,88,,72,,83,94,,93,75,,93,87
Singapore,SGP,AP,85,4,2.05,9,81.64,88.36,,,73,90,,83,91,89,85,77,,89,85
Sweden,SWE,WE/EU,85,4,1.98,8,81.76,88.24,,88,,90,,83,84,,93,78,,77,87
Switzerland,CHE,WE/EU,85,4,1.58,7,82.41,87.59,,88,,90,,83,88,,85,77,,83,
Norway,NOR,WE/EU,84,7,1.65,7,81.3,86.7,,79,,90,,83,81,,86,78,,,88
Netherlands,NLD,WE/EU,82,8,2.25,8,78.31,85.69,,70,,90,,83,89,,85,77,,81,83
Germany,DEU,WE/EU,80,9,3.31,8,74.57,85.43,,79,,90,,83,91,,85,77,,61,78
Luxembourg,LUX,WE/EU,80,9,1.95,7,76.79,83.21,,79,,72,,83,81,,85,75,,86,
Iceland,ISL,WE/EU,78,11,4.63,7,70.41,85.59,,53,,72,,83,87,,85,77,,87,
Australia,AUS,AP,77,12,1.32,9,74.84,79.16,,79,,72,,71,81,83,76,76,,76,78
Austria,AUT,WE/EU,77,12,1.57,8,74.43,79.57,,79,,72,,71,85,,76,75,,78,80
Canada,CAN,AME,77,12,2.8,8,72.41,81.59,,79,,90,,71,74,,85,77,,64,79
United Kingdom,GBR,WE/EU,77,12,3.34,8,71.53,82.47,,79,,90,,71,79,,85,76,,58,80
Hong Kong,HKG,AP,76,16,3.15,8,70.83,81.17,,,,90,,71,82,61,76,72,,84,73
Belgium,BEL,WE/EU,75,17,1.09,7,73.2,76.8,,79,,72,,71,74,,76,77,,,76
Estonia,EST,WE/EU,74,18,1.21,10,72.02,75.98,,79,77,72,77,71,69,,67,75,,74,75
Ireland,IRL,WE/EU,74,18,3.61,7,68.08,79.92,,79,,55,,71,84,,76,76,,79,
Japan,JPN,AP,73,20,3.51,9,67.24,78.76,,53,,72,,71,73,80,67,73,,92,79
United Arab Emirates,ARE,MENA,71,21,5.13,8,62.59,79.41,,,57,72,,47,89,,67,71,,89,74
Uruguay,URY,AME,71,21,2.47,7,66.95,75.05,,,77,72,,59,,,76,76,,66,72
France,FRA,WE/EU,69,23,2.28,8,65.26,72.74,,70,,72,,71,78,,67,71,,55,70
United States of America,USA,AME,69,23,4.12,9,62.25,75.75,,70,,90,,71,74,48,76,71,,53,72
Bhutan,BTN,AP,68,25,2.76,4,63.48,72.52,,,69,,,71,,,,72,60,,
