Country Code,Series Code,Time Code,Value
ABW,IC.BUS.EASE.XQ,YR2019,
AFG,IC.BUS.EASE.XQ,YR2019,173
AGO,IC.BUS.EASE.XQ,YR2019,177
ALB,IC.BUS.EASE.XQ,YR2019,82
AND,IC.BUS.EASE.XQ,YR2019,
ARB,IC.BUS.EASE.XQ,YR2019,
ARE,IC.BUS.EASE.XQ,YR2019,16
ARG,IC.BUS.EASE.XQ,YR2019,126
ARM,IC.BUS.EASE.XQ,YR2019,47
ASM,IC.BUS.EASE.XQ,YR2019,
ATG,IC.BUS.EASE.XQ,YR2019,113
AUS,IC.BUS.EASE.XQ,YR2019,14
AUT,IC.BUS.EASE.XQ,YR2019,27
AZE,IC.BUS.EASE.XQ,YR2019,34
BDI,IC.BUS.EASE.XQ,YR2019,166
BEL,IC.BUS.EASE.XQ,YR2019,46
BEN,IC.BUS.EASE.XQ,YR2019,149
BFA,IC.BUS.EASE.XQ,YR2019,151
BGD,IC.BUS.EASE.XQ,YR2019,168
BGR,IC.BUS.EASE.XQ,YR2019,61
BHR,IC.BUS.EASE.XQ,YR2019,43
BHS,IC.BUS.EASE.XQ,YR2019,119
BIH,IC.BUS.EASE.XQ,YR2019,90
BLR,IC.BUS.EASE.XQ,YR2019,49
BLZ,IC.BUS.EASE.XQ,YR2019,135
BMU,IC.BUS.EASE.XQ,YR2019,
BOL,IC.BUS.EASE.XQ,YR2019,150
BRA,IC.BUS.EASE.XQ,YR2019,124
BRB,IC.BUS.EASE.XQ,YR2019,128
BRN,IC.BUS.EASE.XQ,YR2019,66
BTN,IC.BUS.EASE.XQ,YR2019,89
BWA,IC.BUS.EASE.XQ,YR2019,87
CAF,IC.BUS.EASE.XQ,YR2019,184
CAN,IC.BUS.EASE.XQ,YR2019,23
CEB,IC.BUS.EASE.XQ,YR2019,
CHE,IC.BUS.EASE.XQ,YR2019,36
CHI,IC.BUS.EASE.XQ,YR2019,
CHL,IC.BUS.EASE.XQ,YR2019,59
CHN,IC.BUS.EASE.XQ,YR2019,31
CIV,IC.BUS.EASE.XQ,YR2019,110
CMR,IC.BUS.EASE.XQ,YR2019,167
COD,IC.BUS.EASE.XQ,YR2019,183
COG,IC.BUS.EASE.XQ,YR2019,180
COL,IC.BUS.EASE.XQ,YR2019,67
COM,IC.BUS.EASE.XQ,YR2019,160
CPV,IC.BUS.EASE.XQ,YR2019,137
CRI,IC.BUS.EASE.XQ,YR2019,74
CSS,IC.BUS.EASE.XQ,YR2019,
CUB,IC.BUS.EASE.XQ,YR2019,
CUW,IC.BUS.EASE.XQ,YR2019,
CYM,IC.BUS.EASE.XQ,YR2019,
CYP,IC.BUS.EASE.XQ,YR2019,54
CZE,IC.BUS.EASE.XQ,YR2019,41
DEU,IC.BUS.EASE.XQ,YR2019,22
DJI,IC.BUS.EASE.XQ,YR2019,112
DMA,IC.BUS.EASE.XQ,YR2019,111
DNK,IC.BUS.EASE.XQ,YR2019,4
DOM,IC.BUS.EASE.XQ,YR2019,115
DZA,IC.BUS.EASE.XQ,YR2019,157
EAP,IC.BUS.EASE.XQ,YR2019,
EAR,IC.BUS.EASE.XQ,YR2019,
EAS,IC.BUS.EASE.XQ,YR2019,
ECA,IC.BUS.EASE.XQ,YR2019,
ECS,IC.BUS.EASE.XQ,YR2019,
ECU,IC.BUS.EASE.XQ,YR2019,129
EGY,IC.BUS.EASE.XQ,YR2019,114
EMU,IC.BUS.EASE.XQ,YR2019,
ERI,IC.BUS.EASE.XQ,YR2019,189
ESP,IC.BUS.EASE.XQ,YR2019,30
EST,IC.BUS.EASE.XQ,YR2019,18
ETH,IC.BUS.EASE.XQ,YR2019,159
EUU,IC.BUS.EASE.XQ,YR2019,
FCS,IC.BUS.EASE.XQ,YR2019,
FIN,IC.BUS.EASE.XQ,YR2019,20
FJI,IC.BUS.EASE.XQ,YR2019,102
FRA,IC.BUS.EASE.XQ,YR2019,32
FRO,IC.BUS.EASE.XQ,YR2019,
FSM,IC.BUS.EASE.XQ,YR2019,158
GAB,IC.BUS.EASE.XQ,YR2019,169
GBR,IC.BUS.EASE.XQ,YR2019,8
GEO,IC.BUS.EASE.XQ,YR2019,7
GHA,IC.BUS.EASE.XQ,YR2019,118
GIB,IC.BUS.EASE.XQ,YR2019,
GIN,IC.BUS.EASE.XQ,YR2019,156
GMB,IC.BUS.EASE.XQ,YR2019,155
GNB,IC.BUS.EASE.XQ,YR2019,174
GNQ,IC.BUS.EASE.XQ,YR2019,178
GRC,IC.BUS.EASE.XQ,YR2019,79
GRD,IC.BUS.EASE.XQ,YR2019,146
GRL,IC.BUS.EASE.XQ,YR2019,
GTM,IC.BUS.EASE.XQ,YR2019,96
GUM,IC.BUS.EASE.XQ,YR2019,
GUY,IC.BUS.EASE.XQ,YR2019,134
HIC,IC.BUS.EASE.XQ,YR2019,
HKG,IC.BUS.EASE.XQ,YR2019,3
HND,IC.BUS.EASE.XQ,YR2019,133
HPC,IC.BUS.EASE.XQ,YR2019,
HRV,IC.BUS.EASE.XQ,YR2019,51
HTI,IC.BUS.EASE.XQ,YR2019,179
HUN,IC.BUS.EASE.XQ,YR2019,52
IBD,IC.BUS.EASE.XQ,YR2019,
IBT,IC.BUS.EASE.XQ,YR2019,
IDA,IC.BUS.EASE.XQ,YR2019,
IDB,IC.BUS.EASE.XQ,YR2019,
IDN,IC.BUS.EASE.XQ,YR2019,73
IDX,IC.BUS.EASE.XQ,YR2019,
IMN,IC.BUS.EASE.XQ,YR2019,
IND,IC.BUS.EASE.XQ,YR2019,63
INX,IC.BUS.EASE.XQ,YR2019,
IRL,IC.BUS.EASE.XQ,YR2019,24
IRN,IC.BUS.EASE.XQ,YR2019,127
IRQ,IC.BUS.EASE.XQ,YR2019,172
ISL,IC.BUS.EASE.XQ,YR2019,26
ISR,IC.BUS.EASE.XQ,YR2019,35
ITA,IC.BUS.EASE.XQ,YR2019,58
JAM,IC.BUS.EASE.XQ,YR2019,71
JOR,IC.BUS.EASE.XQ,YR2019,75
JPN,IC.BUS.EASE.XQ,YR2019,29
KAZ,IC.BUS.EASE.XQ,YR2019,25
KEN,IC.BUS.EASE.XQ,YR2019,56
KGZ,IC.BUS.EASE.XQ,YR2019,80
KHM,IC.BUS.EASE.XQ,YR2019,144
KIR,IC.BUS.EASE.XQ,YR2019,164
KNA,IC.BUS.EASE.XQ,YR2019,139
KOR,IC.BUS.EASE.XQ,YR2019,5
KWT,IC.BUS.EASE.XQ,YR2019,83
LAC,IC.BUS.EASE.XQ,YR2019,
LAO,IC.BUS.EASE.XQ,YR2019,154
LBN,IC.BUS.EASE.XQ,YR2019,143
LBR,IC.BUS.EASE.XQ,YR2019,175
LBY,IC.BUS.EASE.XQ,YR2019,186
LCA,IC.BUS.EASE.XQ,YR2019,93
LCN,IC.BUS.EASE.XQ,YR2019,
LDC,IC.BUS.EASE.XQ,YR2019,
LIC,IC.BUS.EASE.XQ,YR2019,
LIE,IC.BUS.EASE.XQ,YR2019,
LKA,IC.BUS.EASE.XQ,YR2019,99
LMC,IC.BUS.EASE.XQ,YR2019,
LMY,IC.BUS.EASE.XQ,YR2019,
LSO,IC.BUS.EASE.XQ,YR2019,122
LTE,IC.BUS.EASE.XQ,YR2019,
LTU,IC.BUS.EASE.XQ,YR2019,11
LUX,IC.BUS.EASE.XQ,YR2019,72
LVA,IC.BUS.EASE.XQ,YR2019,19
MAC,IC.BUS.EASE.XQ,YR2019,
MAF,IC.BUS.EASE.XQ,YR2019,
MAR,IC.BUS.EASE.XQ,YR2019,53
MCO,IC.BUS.EASE.XQ,YR2019,
MDA,IC.BUS.EASE.XQ,YR2019,48
MDG,IC.BUS.EASE.XQ,YR2019,161
MDV,IC.BUS.EASE.XQ,YR2019,147
MEA,IC.BUS.EASE.XQ,YR2019,
MEX,IC.BUS.EASE.XQ,YR2019,60
MHL,IC.BUS.EASE.XQ,YR2019,153
MIC,IC.BUS.EASE.XQ,YR2019,
MKD,IC.BUS.EASE.XQ,YR2019,17
MLI,IC.BUS.EASE.XQ,YR2019,148
MLT,IC.BUS.EASE.XQ,YR2019,88
MMR,IC.BUS.EASE.XQ,YR2019,165
MNA,IC.BUS.EASE.XQ,YR2019,
MNE,IC.BUS.EASE.XQ,YR2019,50
MNG,IC.BUS.EASE.XQ,YR2019,81
MNP,IC.BUS.EASE.XQ,YR2019,
MOZ,IC.BUS.EASE.XQ,YR2019,138
MRT,IC.BUS.EASE.XQ,YR2019,152
MUS,IC.BUS.EASE.XQ,YR2019,13
MWI,IC.BUS.EASE.XQ,YR2019,109
MYS,IC.BUS.EASE.XQ,YR2019,12
NAC,IC.BUS.EASE.XQ,YR2019,
NAM,IC.BUS.EASE.XQ,YR2019,104
NCL,IC.BUS.EASE.XQ,YR2019,
NER,IC.BUS.EASE.XQ,YR2019,132
NGA,IC.BUS.EASE.XQ,YR2019,131
NIC,IC.BUS.EASE.XQ,YR2019,142
NLD,IC.BUS.EASE.XQ,YR2019,42
NOR,IC.BUS.EASE.XQ,YR2019,9
NPL,IC.BUS.EASE.XQ,YR2019,94
NRU,IC.BUS.EASE.XQ,YR2019,
NZL,IC.BUS.EASE.XQ,YR2019,1
OED,IC.BUS.EASE.XQ,YR2019,
OMN,IC.BUS.EASE.XQ,YR2019,68
OSS,IC.BUS.EASE.XQ,YR2019,
PAK,IC.BUS.EASE.XQ,YR2019,108
PAN,IC.BUS.EASE.XQ,YR2019,86
PER,IC.BUS.EASE.XQ,YR2019,76
PHL,IC.BUS.EASE.XQ,YR2019,95
PLW,IC.BUS.EASE.XQ,YR2019,145
PNG,IC.BUS.EASE.XQ,YR2019,120
POL,IC.BUS.EASE.XQ,YR2019,40
PRE,IC.BUS.EASE.XQ,YR2019,
PRI,IC.BUS.EASE.XQ,YR2019,65
PRK,IC.BUS.EASE.XQ,YR2019,
PRT,IC.BUS.EASE.XQ,YR2019,39
PRY,IC.BUS.EASE.XQ,YR2019,125
PSE,IC.BUS.EASE.XQ,YR2019,117
PSS,IC.BUS.EASE.XQ,YR2019,
PST,IC.BUS.EASE.XQ,YR2019,
PYF,IC.BUS.EASE.XQ,YR2019,
QAT,IC.BUS.EASE.XQ,YR2019,77
ROU,IC.BUS.EASE.XQ,YR2019,55
RUS,IC.BUS.EASE.XQ,YR2019,28
RWA,IC.BUS.EASE.XQ,YR2019,38
SAS,IC.BUS.EASE.XQ,YR2019,
SAU,IC.BUS.EASE.XQ,YR2019,62
SDN,IC.BUS.EASE.XQ,YR2019,171
SEN,IC.BUS.EASE.XQ,YR2019,123
SGP,IC.BUS.EASE.XQ,YR2019,2
SLB,IC.BUS.EASE.XQ,YR2019,136
SLE,IC.BUS.EASE.XQ,YR2019,163
SLV,IC.BUS.EASE.XQ,YR2019,91
SMR,IC.BUS.EASE.XQ,YR2019,92
SOM,IC.BUS.EASE.XQ,YR2019,190
SRB,IC.BUS.EASE.XQ,YR2019,44
SSA,IC.BUS.EASE.XQ,YR2019,
SSD,IC.BUS.EASE.XQ,YR2019,185
SSF,IC.BUS.EASE.XQ,YR2019,
SST,IC.BUS.EASE.XQ,YR2019,
STP,IC.BUS.EASE.XQ,YR2019,170
SUR,IC.BUS.EASE.XQ,YR2019,162
SVK,IC.BUS.EASE.XQ,YR2019,45
SVN,IC.BUS.EASE.XQ,YR2019,37
SWE,IC.BUS.EASE.XQ,YR2019,10
SWZ,IC.BUS.EASE.XQ,YR2019,121
SXM,IC.BUS.EASE.XQ,YR2019,
SYC,IC.BUS.EASE.XQ,YR2019,100
SYR,IC.BUS.EASE.XQ,YR2019,176
TCA,IC.BUS.EASE.XQ,YR2019,
TCD,IC.BUS.EASE.XQ,YR2019,182
TEA,IC.BUS.EASE.XQ,YR2019,
TEC,IC.BUS.EASE.XQ,YR2019,
TGO,IC.BUS.EASE.XQ,YR2019,97
THA,IC.BUS.EASE.XQ,YR2019,21
TJK,IC.BUS.EASE.XQ,YR2019,106
TKM,IC.BUS.EASE.XQ,YR2019,
TLA,IC.BUS.EASE.XQ,YR2019,
TLS,IC.BUS.EASE.XQ,YR2019,181
TMN,IC.BUS.EASE.XQ,YR2019,
TON,IC.BUS.EASE.XQ,YR2019,103
TSA,IC.BUS.EASE.XQ,YR2019,
TSS,IC.BUS.EASE.XQ,YR2019,
TTO,IC.BUS.EASE.XQ,YR2019,105
TUN,IC.BUS.EASE.XQ,YR2019,78
TUR,IC.BUS.EASE.XQ,YR2019,33
TUV,IC.BUS.EASE.XQ,YR2019,
TZA,IC.BUS.EASE.XQ,YR2019,141
UGA,IC.BUS.EASE.XQ,YR2019,116
UKR,IC.BUS.EASE.XQ,YR2019,64
UMC,IC.BUS.EASE.XQ,YR2019,
URY,IC.BUS.EASE.XQ,YR2019,101
USA,IC.BUS.EASE.XQ,YR2019,6
UZB,IC.BUS.EASE.XQ,YR2019,69
VCT,IC.BUS.EASE.XQ,YR2019,130
VEN,IC.BUS.EASE.XQ,YR2019,188
VGB,IC.BUS.EASE.XQ,YR2019,
VIR,IC.BUS.EASE.XQ,YR2019,
VNM,IC.BUS.EASE.XQ,YR2019,70
VUT,IC.BUS.EASE.XQ,YR2019,107
WLD,IC.BUS.EASE.XQ,YR2019,
WSM,IC.BUS.EASE.XQ,YR2019,98
XKX,IC.BUS.EASE.XQ,YR2019,57
YEM,IC.BUS.EASE.XQ,YR2019,187
ZAF,IC.BUS.EASE.XQ,YR2019,84
ZMB,IC.BUS.EASE.XQ,YR2019,85
ZWE,IC.BUS.EASE.XQ,YR2019,140
