Series Code,Country Code,Time Code,Value
IC.BUS.EASE.XQ,CHN_BEI,YR2011,
IC.BUS.EASE.XQ,CHN_BEI,YR2012,
IC.BUS.EASE.XQ,CHN_BEI,YR2013,
IC.BUS.EASE.XQ,CHN_BEI,YR2014,
IC.BUS.EASE.XQ,CHN_BEI,YR2015,
IC.BUS.EASE.XQ,CHN_BEI,YR2016,
IC.BUS.EASE.XQ,CHN_BEI,YR2017,
IC.BUS.EASE.XQ,CHN_BEI,YR2018,
IC.BUS.EASE.XQ,CHN_BEI,YR2019,
IC.BUS.EASE.XQ,CHN_BEI,YR2020,
IC.BUS.EASE.XQ,BGD_CHI,YR2011,
IC.BUS.EASE.XQ,BGD_CHI,YR2012,
IC.BUS.EASE.XQ,BGD_CHI,YR2013,
IC.BUS.EASE.XQ,BGD_CHI,YR2014,
IC.BUS.EASE.XQ,BGD_CHI,YR2015,
IC.BUS.EASE.XQ,BGD_CHI,YR2016,
IC.BUS.EASE.XQ,BGD_CHI,YR2017,
IC.BUS.EASE.XQ,BGD_CHI,YR2018,
IC.BUS.EASE.XQ,BGD_CHI,YR2019,
IC.BUS.EASE.XQ,BGD_CHI,YR2020,
IC.BUS.EASE.XQ,IND_DEL,YR2011,
IC.BUS.EASE.XQ,IND_DEL,YR2012,
IC.BUS.EASE.XQ,IND_DEL,YR2013,
IC.BUS.EASE.XQ,IND_DEL,YR2014,
IC.BUS.EASE.XQ,IND_DEL,YR2015,
IC.BUS.EASE.XQ,IND_DEL,YR2016,
IC.BUS.EASE.XQ,IND_DEL,YR2017,
IC.BUS.EASE.XQ,IND_DEL,YR2018,
IC.BUS.EASE.XQ,IND_DEL,YR2019,
IC.BUS.EASE.XQ,IND_DEL,YR2020,
IC.BUS.EASE.XQ,BGD_DHA,YR2011,
IC.BUS.EASE.XQ,BGD_DHA,YR2012,
IC.BUS.EASE.XQ,BGD_DHA,YR2013,
IC.BUS.EASE.XQ,BGD_DHA,YR2014,
IC.BUS.EASE.XQ,BGD_DHA,YR2015,
IC.BUS.EASE.XQ,BGD_DHA,YR2016,
IC.BUS.EASE.XQ,BGD_DHA,YR2017,
IC.BUS.EASE.XQ,BGD_DHA,YR2018,
IC.BUS.EASE.XQ,BGD_DHA,YR2019,
IC.BUS.EASE.XQ,BGD_DHA,YR2020,
