Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,352,Iceland,ISL,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2000,2000,5788,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,360,Indonesia,IDN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,230588,230588,668810,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,364,Iran,IRN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,78380,78380,400905,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,368,Iraq,IRQ,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2239600,2239600,3726491,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,372,Ireland,IRL,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,66838,66838,334097,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,372,Ireland,IRL,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,1924881,1924881,3725942,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,376,Israel,ISR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,9049,9049,527337,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,376,Israel,ISR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,522559,522559,1313274,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,381,Italy,ITA,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,535169,535169,1822790,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,381,Italy,ITA,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,64843970,64843970,113647135,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,384,Côte d'Ivoire,CIV,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,4248,4248,17063,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,392,Japan,JPN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2530624,2530624,11593959,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,392,Japan,JPN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,998373,998373,2997373,6,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,398,Kazakhstan,KAZ,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,1297160,1297160,2156679,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,400,Jordan,JOR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,687785,687785,1232039,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,404,Kenya,KEN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,596319,596319,854012,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,410,Rep. of Korea,KOR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,1368530,1368530,3236702,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,239065,239065,365985,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,414,Kuwait,KWT,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,541667,541667,1096251,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,422,Lebanon,LBN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,355855,355855,757997,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,428,Latvia,LVA,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,135557,135557,592305,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,430,Liberia,LBR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,28080,28080,109260,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,434,Libya,LBY,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,306000,306000,518326,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,440,Lithuania,LTU,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,49088,49088,102791,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,440,Lithuania,LTU,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2942873,2942873,4622179,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,442,Luxembourg,LUX,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2195,2195,13922,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,442,Luxembourg,LUX,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2825504,2825504,9148421,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,450,Madagascar,MDG,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,174680,174680,305664,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,458,Malaysia,MYS,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,501200,501200,1810101,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,458,Malaysia,MYS,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,349192,349192,467887,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,466,Mali,MLI,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,72000,72000,157080,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,478,Mauritania,MRT,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,7582,7582,20801,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,480,Mauritius,MUS,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,46790,46790,79196,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,484,Mexico,MEX,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,380890,380890,775029,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,484,Mexico,MEX,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,285950,285950,453969,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,490,"Other Asia, nes",,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,1623042,1623042,3815200,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,1684007,1684007,3944485,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,504,Morocco,MAR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,3627413,3627413,6129378,6,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,508,Mozambique,MOZ,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,88000,88000,127482,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,512,Oman,OMN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,145920,145920,389826,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,528,Netherlands,NLD,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,82028316,82028316,143494249,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,528,Netherlands,NLD,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,52372561,52372561,116221965,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,554,New Zealand,NZL,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,3483,3483,39779,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,566,Nigeria,NGA,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,91400,91400,168641,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,579,Norway,NOR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,0,0,387,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,579,Norway,NOR,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,746235,746235,1544344,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,586,Pakistan,PAK,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,771441,771441,1574427,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,616,Poland,POL,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2702895,2702895,4895352,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,616,Poland,POL,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,75369251,75369251,121740266,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,620,Portugal,PRT,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,4534,4534,15170,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,620,Portugal,PRT,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,17038853,17038853,28875772,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,624,Guinea-Bissau,GNB,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,36000,36000,60041,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,634,Qatar,QAT,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,148784,148784,426981,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,642,Romania,ROU,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2988060,2988060,5325543,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,642,Romania,ROU,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,16523393,16523393,25985897,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,643,Russian Federation,RUS,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,460457,460457,498680,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,11044322,11044322,20900757,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,646,Rwanda,RWA,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,54000,54000,107240,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,682,Saudi Arabia,SAU,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,46029310,46029310,61405757,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,682,Saudi Arabia,SAU,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,1228247,1228247,2433088,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,686,Senegal,SEN,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,124941,124941,253211,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,688,Serbia,SRB,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2661077,2661077,4252867,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,699,India,IND,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,16800,16800,57471,0,
H5,2019,2019,2019,6,1,2,Export,56,Belgium,BEL,699,India,IND,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,2197170,2197170,4438971,0,
H5,2019,2019,2019,6,1,1,Import,56,Belgium,BEL,702,Singapore,SGP,390720,"Polyethers; in primary forms, excluding polyacetals",8,Weight in kilograms,172025,172025,686303,0,
