Country,ISO3,CPI score 2021,Rank 2021
Denmark,DNK,88,1
Finland,FIN,88,1
New Zealand,NZL,88,1
Norway,NOR,85,4
Singapore,SGP,85,4
Sweden,SWE,85,4
Switzerland,CHE,84,7
Netherlands,NLD,82,8
Luxembourg,LUX,81,9
Germany,DEU,80,10
United Kingdom,GBR,78,11
Hong Kong,HKG,76,12
Canada,CAN,74,13
Iceland,ISL,74,13
Ireland,IRL,74,13
Estonia,EST,74,13
Austria,AUT,74,13
Australia,AUS,73,18
Belgium,BEL,73,18
Japan,JPN,73,18
Uruguay,URY,73,18
France,FRA,71,22
Seychelles,SYC,70,23
United Arab Emirates,ARE,69,24
Bhutan,BTN,68,25
Taiwan,TWN,68,25
Chile,CHL,67,27
United States of America,USA,67,27
Barbados,BRB,65,29
Bahamas,BHS,64,30
Qatar,QAT,63,31
"Korea, South",KOR,62,32
Portugal,PRT,62,32
Lithuania,LTU,61,34
Spain,ESP,61,34
Israel,ISR,59,36
Latvia,LVA,59,36
Saint Vincent and the Grenadines,VCT,59,36
Cabo Verde,CPV,58,39
Costa Rica,CRI,58,39
Slovenia,SVN,57,41
Italy,ITA,56,42
Poland,POL,56,42
Saint Lucia,LCA,56,42
Botswana,BWA,55,45
Dominica,DMA,55,45
Fiji,FJI,55,45
Georgia,GEO,55,45
Czechia,CZE,54,49
Malta,MLT,54,49
Mauritius,MUS,54,49
Grenada,GRD,53,52
Cyprus,CYP,53,52
Rwanda,RWA,53,52
Saudi Arabia,SAU,53,52
Oman,OMN,52,56
Slovakia,SVK,52,56
Armenia,ARM,49,58
Greece,GRC,49,58
Jordan,JOR,49,58
Namibia,NAM,49,58
Malaysia,MYS,48,62
Croatia,HRV,47,63
Cuba,CUB,46,64
Montenegro,MNE,46,64
China,CHN,45,66
Romania,ROU,45,66
Sao Tome and Principe,STP,45,66
Vanuatu,VUT,45,66
Jamaica,JAM,44,70
South Africa,ZAF,44,70
Tunisia,TUN,44,70
Ghana,GHA,43,73
Hungary,HUN,43,73
Kuwait,KWT,43,73
Senegal,SEN,43,73
Solomon Islands,SLB,43,73
Bahrain,BHR,42,78
Benin,BEN,42,78
Burkina Faso,BFA,42,78
Bulgaria,BGR,42,78
Timor-Leste,TLS,41,82
Belarus,BLR,41,82
Trinidad and Tobago,TTO,41,82
India,IND,40,85
Maldives,MDV,40,85
Kosovo,KSV,39,87
Colombia,COL,39,87
Ethiopia,ETH,39,87
Guyana,GUY,39,87
Morocco,MAR,39,87
North Macedonia,MKD,39,87
Suriname,SUR,39,87
Tanzania,TZA,39,87
Vietnam,VNM,39,87
Argentina,ARG,38,96
Brazil,BRA,38,96
Indonesia,IDN,38,96
Lesotho,LSO,38,96
Serbia,SRB,38,96
Turkey,TUR,38,96
Gambia,GMB,37,102
Kazakhstan,KAZ,37,102
Sri Lanka,LKA,37,102
Cote d'Ivoire,CIV,36,105
Ecuador,ECU,36,105
Moldova,MDA,36,105
Panama,PAN,36,105
Peru,PER,36,105
Albania,ALB,35,110
Bosnia and Herzegovina,BIH,35,110
Malawi,MWI,35,110
Mongolia,MNG,35,110
Thailand,THA,35,110
El Salvador,SLV,34,115
Sierra Leone,SLE,34,115
Egypt,EGY,33,117
Nepal,NPL,33,117
Philippines,PHL,33,117
Zambia,ZMB,33,117
Algeria,DZA,33,117
Eswatini,SWZ,32,122
Ukraine,UKR,32,122
Gabon,GAB,31,124
Mexico,MEX,31,124
Niger,NER,31,124
Papua New Guinea,PNG,31,124
Azerbaijan,AZE,30,128
Bolivia,BOL,30,128
Djibouti,DJI,30,128
Dominican Republic,DOM,30,128
Laos,LAO,30,128
Paraguay,PRY,30,128
Togo,TGO,30,128
Kenya,KEN,30,128
Angola,AGO,29,136
Liberia,LBR,29,136
Mali,MLI,29,136
Russia,RUS,29,136
Mauritania,MRT,28,140
Myanmar,MMR,28,140
Pakistan,PAK,28,140
Uzbekistan,UZB,28,140
Cameroon,CMR,27,144
Kyrgyzstan,KGZ,27,144
Uganda,UGA,27,144
Bangladesh,BGD,26,147
Madagascar,MDG,26,147
Mozambique,MOZ,26,147
Guatemala,GTM,25,150
Guinea,GIN,25,150
Iran,IRN,25,150
Tajikistan,TJK,25,150
Lebanon,LBN,24,154
Nigeria,NGA,24,154
Central African Republic,CAF,24,154
Cambodia,KHM,23,157
Honduras,HND,23,157
Iraq,IRQ,23,157
Zimbabwe,ZWE,23,157
Eritrea,ERI,22,161
Congo,COG,21,162
Guinea Bissau,GNB,21,162
Chad,TCD,20,164
Comoros,COM,20,164
Haiti,HTI,20,164
Nicaragua,NIC,20,164
Sudan,SDN,20,164
Burundi,BDI,19,169
Democratic Republic of the Congo,COD,19,169
Turkmenistan,TKM,19,169
Equatorial Guinea,GNQ,17,172
Libya,LBY,17,172
Afghanistan,AFG,16,174
"Korea, North",PRK,16,174
Yemen,YEM,16,174
Venezuela,VEN,14,177
Somalia,SOM,13,178
Syria,SYR,13,178
South Sudan,SSD,11,180
