Direction,Service type code,Service type,Country code,Country,2016,2017,2018,2019,2020,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3
Exports,0,Total Services,4A,EU Institutions,82,167,70,43,14,15,22,23,22,43,44,41,39,20,19,18,13,10,11,10,12,5,3,3,3,2,1,2
Exports,0,Total Services,4F,European Central Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exports,0,Total Services,9A,International Organisations,130,160,173,171,146,26,25,40,39,45,38,34,43,37,42,37,57,47,45,39,40,46,42,30,28,30,31,30
Exports,0,Total Services,AL,Albania,29,33,32,56,17,6,7,9,7,8,6,11,8,4,6,7,15,13,12,15,16,2,5,3,7,3,9,9
Exports,0,Total Services,AR,Argentina,352,481,371,314,229,75,82,102,93,88,112,170,111,82,92,104,93,72,84,81,77,64,42,57,66,52,41,52
Exports,0,Total Services,AT,Austria,1070,1222,1363,1566,1199,249,253,281,287,312,297,287,326,328,333,340,362,369,368,400,429,357,277,272,293,210,219,226
Exports,0,Total Services,AU,Australia,5580,5909,6576,6694,5051,1235,1400,1505,1440,1331,1514,1626,1438,1518,1690,1712,1656,1512,1692,1799,1691,1433,1200,1232,1186,1179,1299,1385
Exports,0,Total Services,B5,Total EU27,101415,113066,121434,122376,106523,22416,25335,26464,27200,25232,28173,30312,29349,28030,30673,30373,32358,26888,31016,31983,32489,28101,24721,25025,28676,24699,25621,27590
Exports,0,Total Services,BE,Belgium,4123,4887,4776,5069,4532,890,1010,1058,1165,1142,1232,1408,1105,1089,1250,1174,1263,1126,1249,1307,1387,1104,1055,1100,1273,1300,1245,1279
Exports,0,Total Services,BG,Bulgaria,471,533,568,639,481,91,118,138,124,106,137,162,128,121,146,158,143,125,158,192,164,126,139,103,113,146,97,101
Exports,0,Total Services,BR,Brazil,1401,1312,1420,1781,1129,311,358,359,373,350,290,316,356,276,376,335,433,410,473,450,448,279,250,254,346,214,295,296
Exports,0,Total Services,BY,Belarus,6,13,16,35,31,1,1,3,1,2,3,4,4,3,3,7,3,6,7,9,13,15,6,3,7,7,6,4
Exports,0,Total Services,CA,Canada,5192,5274,5763,5991,5745,1127,1290,1390,1385,1242,1401,1356,1275,1376,1431,1438,1518,1406,1542,1546,1497,1524,1366,1422,1433,1451,1494,1526
Exports,0,Total Services,CH,Switzerland,11634,12228,14131,12001,12207,2726,2845,2863,3200,3157,2936,2987,3148,3497,3061,3728,3845,2765,2852,3069,3315,3017,2798,2892,3500,2833,2897,2979
Exports,0,Total Services,CL,Chile,403,366,399,386,361,86,100,105,112,79,88,102,97,124,86,92,97,84,95,103,104,90,86,88,97,94,96,112
Exports,0,Total Services,CN,China,6028,7115,7404,8590,8059,1198,1540,1694,1596,1472,2169,1914,1560,1479,1825,2070,2030,1681,2145,2369,2395,2191,1946,2029,1893,1832,1938,2058
Exports,0,Total Services,CO,Colombia,295,344,173,190,177,63,73,77,82,81,68,68,127,39,44,45,45,42,48,49,51,43,32,41,61,52,50,50
Exports,0,Total Services,CS,Serbia and Montenegro,82,96,96,85,116,17,20,22,23,18,26,27,25,20,22,23,31,17,20,24,24,31,24,28,33,15,28,26
Exports,0,Total Services,CY,Cyprus,1306,1309,1221,1443,1103,237,332,385,352,231,363,388,327,213,322,358,328,274,375,413,381,276,255,252,320,261,332,290
Exports,0,Total Services,CZ,Czech Republic,887,1036,935,1158,754,192,218,228,249,240,265,263,268,231,230,232,242,246,265,297,350,190,158,177,229,158,186,173
