iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT,1122,1173,1160,1117,1255,1283,1281,1110,1342,1702,1404,1476,1292,1468,1697,1561,1659,1662,1568,1799,1865,2035,1896,1748
BE,8009,8050,8743,9613,9482,10011,10843,10306,11236,13313,12065,13393,10782,13221,15750,14332,13693,12098,11570,11511,14000,14335,12943,10701
BG,80,82,76,89,123,134,156,155,220,219,207,253,201,250,330,313,405,455,347,493,461,447,380,368
HR,106,109,80,78,89,94,160,129,117,145,164,207,209,169,148,146,116,147,138,165,191,254,219,215
CY,270,261,263,328,296,280,321,334,368,1065,416,542,633,569,705,484,456,457,371,320,378,394,465,488
CZ,744,725,736,950,1071,1032,1011,987,1087,1610,1435,1554,1448,1826,1928,1749,1960,2100,1966,2122,2135,2241,2228,2033
DK,2089,2081,2063,2302,2336,2815,2233,2058,2329,3896,2202,2607,2495,2766,3030,2847,3031,2952,2309,2471,2822,2777,2739,2398
EE,67,70,52,68,78,94,85,98,110,475,235,221,143,194,282,291,335,277,220,231,259,277,259,231
FI,1500,1425,1348,1424,1605,1434,1455,1374,1523,1847,1993,2002,1330,1497,1663,1552,1563,1627,1324,1311,1366,1427,1359,1267
FR,16221,16208,16669,18121,19376,19232,19341,18681,20475,29665,17537,18073,17273,19145,21990,20980,21163,18894,17734,19733,23565,23970,24579,18785
DE,20205,20303,20269,22525,22764,21118,19780,21102,22378,27076,24229,27951,24431,27904,33925,32315,29548,30923,30406,32156,36218,35849,36638,32635
GR,1041,1083,1161,1247,1241,1349,1412,1544,1370,1510,1696,1748,1657,1392,1172,879,1199,1962,941,911,1143,1577,1089,967
HU,453,509,494,610,614,756,887,948,842,850,881,1010,849,1079,1196,1111,1263,1239,1271,1352,1455,1482,1366,1258
IE,9754,9972,11218,12751,14679,16059,12994,14409,16548,17656,18346,19225,15999,16947,17891,17420,18770,18180,16524,16989,19709,21291,21912,21924
IT,7941,8440,7744,8300,8301,8436,8546,8413,8683,9514,9214,9529,8401,8843,9982,8018,8544,8876,8394,9657,10154,10605,10112,8726
LV,88,91,69,88,89,80,115,95,101,582,149,170,110,164,238,256,296,348,219,239,341,391,388,424
