iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT,1407,1457,1490,1438,2247,3196,3321,2444,2244,2636,2500,2378,2390,2667,2964,2645,2864,3017,2986,3177,3310,3806,3867,3435
BE,9070,9476,9878,10595,12153,12549,12842,13271,13998,15302,15427,16763,15410,17456,19280,18673,21059,21733,21445,24277,26104,26727,26114,23266
BG,99,85,82,99,113,132,135,156,173,210,232,204,175,222,282,293,372,353,364,411,451,511,603,471
HR,36,45,45,46,57,52,53,56,58,77,79,119,85,104,128,88,178,67,95,100,152,139,361,196
CY,132,179,203,224,248,260,254,201,259,2696,158,190,75,146,123,154,136,132,172,171,147,161,486,510
CZ,482,608,634,887,1239,1520,1666,1377,2006,2482,3009,3575,3364,4107,4418,4666,4608,4602,4729,5257,5467,5825,5989,4551
DK,2340,2222,2293,2442,2817,2996,3060,3102,4568,6458,3446,4079,3776,4081,6069,5865,5640,4455,3416,3896,4991,6648,6564,4851
EE,187,185,210,374,309,413,323,441,393,589,246,154,125,160,219,210,151,155,185,236,227,212,247,216
FI,2147,2321,2413,2971,4102,4769,3432,2804,3097,3516,2659,2746,2088,2119,2389,2271,2497,2412,2068,2196,2366,2495,2457,2867
FR,17455,17770,18618,18716,20431,20842,21231,20695,21393,23444,23141,24714,21941,22889,24302,23782,25013,25223,24577,25735,27974,29092,31416,24389
DE,25023,24882,26872,27798,30923,33656,34347,35807,39842,44159,44447,44767,40396,45791,50434,52322,55772,59783,60507,63464,68270,67689,65573,56981
GR,387,364,418,451,504,625,662,777,698,698,697,624,561,664,630,687,716,775,702,815,922,1026,999,924
HU,511,575,673,737,816,1057,1348,1894,2560,2551,2394,2486,2503,3227,3080,2641,2605,2423,2487,2664,2750,2793,3023,2622
IE,7726,7892,8626,9913,10053,10363,10261,10205,10472,11204,11359,12037,12270,12666,12949,12814,11746,11699,12373,12965,14369,13583,13807,13419
IT,9724,9983,9639,9648,10500,11162,11858,12542,12787,13069,13832,14599,12400,13709,14396,14757,15082,16453,16039,17358,18428,19582,19839,17541
LV,353,308,290,464,484,541,583,766,803,895,659,364,299,393,450,340,527,390,482,685,608,769,774,736
