iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT,1483,1564,1594,1578,1700,1764,1806,1640,1915,2338,2338,2381,1981,2103,2564,2443,2550,2537,2489,2869,3087,3398,3462,2947
BE,9650,9803,10623,11635,11429,12216,13267,12998,13984,15883,15059,16554,14572,16641,19197,18096,17185,15380,15074,15634,18887,19111,18012,15233
BG,138,150,156,178,158,230,266,278,357,385,468,536,501,552,589,657,803,840,825,964,994,1015,1019,849
HR,112,115,85,87,99,150,225,140,129,232,233,269,349,256,212,215,198,240,244,273,361,519,463,374
CY,539,568,566,667,653,657,708,818,917,1732,1298,1391,1418,1356,1694,1508,1857,1482,1399,1626,1687,1615,1908,1591
CZ,885,884,897,1131,1280,1242,1296,1391,1551,2109,2068,2061,1938,2308,2542,2377,2673,2821,2752,3009,3171,3176,3386,2787
DK,2920,2963,3078,3515,3933,4324,3946,3684,3973,6361,4257,4798,4876,5216,5850,5593,6023,5604,4913,5594,6040,6294,6353,6268
EE,67,70,52,68,79,95,94,98,113,492,267,275,170,240,353,370,403,348,306,314,351,378,388,432
FI,1974,1943,1917,2194,2318,2100,2213,2133,2306,2817,3169,3021,2497,2670,2899,2877,2778,2957,2482,2427,2593,2791,3085,2624
FR,20913,21138,22151,24151,26099,25993,26690,26483,28396,38739,27274,27998,26870,28723,32528,32044,32696,30262,30158,33294,38378,39744,39903,31418
DE,25086,25520,25975,28981,29824,28437,27766,29397,31656,37065,34609,39375,35082,38763,45646,44420,43183,44129,44079,48574,55496,54853,55315,49533
GR,2463,2741,2874,3035,3020,2984,3039,3019,2972,2987,3172,3278,3111,2807,2603,2317,2756,3563,2522,2656,3036,3531,3160,2206
HU,602,666,667,857,821,980,1099,1297,1444,1299,1402,1533,1404,1554,1699,1793,1745,1772,1833,2011,2165,2163,2252,2461
IE,12518,12785,14191,15927,18404,20363,18106,20246,23634,25556,27726,29653,25560,27268,30958,30087,30187,29004,28116,30570,36109,41081,39375,39430
IT,10528,11188,10724,11306,11557,11740,12301,12309,12963,13892,13570,13753,12819,13031,14581,12761,13991,14642,14606,16136,16523,17273,17656,14272
LV,93,97,73,94,96,92,121,113,217,612,231,248,184,261,348,350,422,431,337,382,491,549,531,551
LT,112,128,98,144,198,156,205,158,297,368,438,529,271,341,431,560,546,523,475,558,849,794,917,677
LU,1388,1319,1401,1257,1929,1938,2491,2280,2373,4033,3988,3442,3659,3708,4327,3894,4406,4397,4174,4646,5132,5439,6660,6561
MT,337,275,290,300,304,317,349,376,358,465,527,641,680,630,859,750,906,801,793,983,1073,1293,2168,1062
NL,17078,16373,17325,19023,19617,18857,18847,18376,19658,24509,23472,28432,27842,32804,35662,36018,36151,36273,30512,32968,38405,44284,41997,35564
PL,1663,1517,1490,1581,1646,1682,1889,1951,2647,4148,3416,4242,3911,4646,5556,4639,5320,5918,5810,6600,7009,7449,7830,6652
PT,2342,2416,2443,2251,2328,2291,2207,2484,2597,3222,2568,2738,2605,2907,2883,2616,2636,2647,2543,2855,3058,3293,3452,2524
RO,254,286,296,450,405,516,597,646,684,732,974,1096,1036,1219,1388,1410,1588,1584,1758,1882,2156,2500,2565,1984
SK,145,114,117,168,209,216,255,249,385,414,514,755,554,739,976,794,693,698,667,807,896,972,1534,1400
SI,153,142,147,168,168,233,159,181,261,310,251,270,222,267,280,289,317,357,298,369,432,475,471,369
ES,9888,10747,11251,12303,12974,13298,14148,14417,17080,19889,16331,16651,15618,15488,16075,15355,15734,15988,16047,17466,18950,18867,19508,14088
SE,5476,5572,5306,5580,5490,5242,5343,5965,6309,7223,7210,8518,6691,8283,9568,8947,9277,9107,8057,8598,9341,11137,9696,9386
AF,27,29,19,23,27,23,35,40,47,63,79,117,312,507,620,572,499,424,221,228,247,196,208,107
AL,9,6,12,7,19,21,12,22,21,31,38,48,51,50,39,42,43,47,44,48,52,50,76,30
DZ,146,171,160,194,192,212,312,299,293,340,353,433,573,590,626,530,662,691,454,577,430,464,547,288
AS,0,0,0,0,0,0,1,0,1,0,0,0,4,11,12,78,0,0,0,1,0,0,0,1
AD,33,16,14,12,18,8,16,16,17,16,18,20,29,29,38,18,47,47,36,33,36,21,30,34
AO,402,425,443,487,553,540,616,610,716,833,873,904,1076,1416,1753,2295,1516,1787,1302,854,814,573,626,697
AI,5,6,1,2,0,1,0,1,0,0,1,0,0,0,5,20,17,20,11,10,14,4,4,4
AQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,53,41,39,30,23,25,27,21,24,44,39,49,30,21,51,19,22,22,43,28,24,30,32,30
AR,669,628,423,428,429,215,224,317,297,341,393,474,410,555,579,618,609,585,649,669,846,755,729,529
AM,6,3,3,3,10,5,6,6,5,15,17,18,13,28,30,22,26,20,25,33,110,26,29,24
AW,67,66,50,32,34,33,17,18,36,47,38,47,54,49,61,92,53,25,23,23,42,22,17,11
AU,4283,4019,3971,4213,4484,4213,4707,5035,5732,5701,5709,6679,6842,8117,9498,9623,9508,9126,8944,9637,10639,11335,11255,9330
AZ,192,213,187,229,256,246,325,470,507,736,604,658,563,693,698,814,829,739,1130,760,567,714,816,762
BH,222,202,178,191,205,206,238,272,302,307,370,558,609,522,585,738,587,593,568,655,781,778,863,530
