iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT,1782,1875,1967,1941,2776,3970,4027,3264,3125,3505,3291,3241,3237,3605,3669,3357,3714,3895,3884,4352,4239,4987,5360,4397
BE,10264,10748,11325,11985,13709,14362,14702,15178,15950,17282,17661,19065,17603,19419,21542,20966,23614,24040,24043,26646,28683,29302,28956,25392
BG,140,126,129,149,164,210,228,375,503,509,541,602,441,506,683,623,777,776,777,964,1114,1334,1494,1099
HR,56,65,65,91,112,105,141,146,190,298,236,466,300,346,381,340,488,364,479,506,726,744,990,430
CY,875,991,1105,1251,1473,1387,1546,1467,1631,4001,1474,1302,1042,1046,1160,1152,1043,841,989,1046,1133,1056,1607,1174
CZ,606,745,785,1102,1477,1812,2048,1906,2582,3118,3584,4107,3926,4622,4975,5108,5146,5172,5355,5957,6334,6710,7113,5262
DK,2864,2768,2873,3051,3469,3642,3721,3825,5345,7370,4253,4892,4771,5160,7054,6824,6703,5647,4487,5070,6194,7915,7956,6450
EE,195,194,218,385,321,425,340,468,455,663,304,215,153,188,269,257,202,203,236,285,279,270,324,261
FI,2368,2549,2678,3256,4367,5022,3725,3070,3443,3884,3032,3109,2535,2608,3004,2782,3046,2902,2537,2658,2808,3051,3014,3228
FR,23568,24444,26056,26859,28771,29743,30529,30235,31036,33578,33265,34558,31169,31821,33354,33683,34473,35200,34908,36561,39606,43152,44463,35536
DE,28653,28841,31153,32262,35901,38947,39731,41506,46211,50955,53295,55259,49812,55536,59476,61772,64993,69971,70234,74000,80103,79738,77172,66504
GR,1775,1888,2105,2270,2651,2853,2966,3009,2984,2979,2714,2593,2565,2519,2615,2555,2521,2584,2832,3210,3331,3639,3789,2434
HU,588,657,768,837,957,1215,1527,2138,2945,3081,2962,3090,3159,3972,3922,3472,3535,3442,3657,4093,4434,4628,4757,3270
IE,11106,11567,12658,14087,14195,14680,15099,15564,16515,17896,18269,19181,20053,20435,21342,21279,21798,21793,23192,25250,27379,30301,29663,21310
IT,11774,12212,12109,12299,13327,14434,15379,16121,16886,16979,17830,18757,16076,17304,18230,18929,19362,20723,20679,22219,23097,25301,25223,21215
LV,355,308,290,464,490,545,590,782,859,979,732,437,364,506,531,450,642,490,591,833,766,953,1081,908
LT,177,179,195,281,285,334,345,304,353,447,517,530,560,766,895,1160,1200,1321,1110,1188,1170,1402,1417,1301
LU,432,436,443,416,713,956,1182,1542,1543,3226,1461,1529,1252,2464,2506,2227,2095,2448,2663,2689,2946,2858,3261,4796
