iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT,361,391,434,461,445,481,525,530,573,636,934,905,689,635,867,882,891,875,921,1070,1222,1363,1566,1199
BE,1641,1753,1880,2022,1947,2205,2424,2692,2748,2570,2994,3161,3790,3420,3447,3764,3492,3282,3504,4123,4887,4776,5069,4532
BG,58,68,80,89,35,96,110,123,137,166,261,283,300,302,259,344,398,385,478,471,533,568,639,481
HR,6,6,5,9,10,56,65,11,12,87,69,62,140,87,64,69,82,93,106,108,170,265,244,159
CY,269,307,303,339,357,377,387,484,549,667,882,849,785,787,989,1024,1401,1025,1028,1306,1309,1221,1443,1103
CZ,141,159,161,181,209,210,285,404,464,499,633,507,490,482,614,628,713,721,786,887,1036,935,1158,754
DK,831,882,1015,1213,1597,1509,1713,1626,1644,2465,2055,2191,2381,2450,2820,2746,2992,2652,2604,3123,3218,3517,3614,3870
EE,0,0,0,0,1,1,9,0,3,17,32,54,27,46,71,79,68,71,86,83,92,101,129,201
FI,474,518,569,770,713,666,758,759,783,970,1176,1019,1167,1173,1236,1325,1215,1330,1158,1116,1227,1364,1726,1357
FR,4692,4930,5482,6030,6723,6761,7349,7802,7921,9074,9737,9925,9597,9578,10538,11064,11533,11368,12424,13561,14813,15774,15324,12633
DE,4881,5217,5706,6456,7060,7319,7986,8295,9278,9989,10380,11424,10651,10859,11721,12105,13635,13206,13673,16418,19278,19004,18677,16898
GR,1422,1658,1713,1788,1779,1635,1627,1475,1602,1477,1476,1530,1454,1415,1431,1438,1557,1601,1581,1745,1893,1954,2071,1239
HU,149,157,173,247,207,224,212,349,602,449,521,523,555,475,503,682,482,533,562,659,710,681,886,1203
IE,2764,2813,2973,3176,3725,4304,5112,5837,7086,7900,9380,10428,9561,10321,13067,12667,11417,10824,11592,13581,16400,19790,17463,17506
IT,2587,2748,2980,3006,3256,3304,3755,3896,4280,4378,4356,4224,4418,4188,4599,4743,5447,5766,6212,6479,6369,6668,7544,5546
LV,5,6,4,6,7,12,6,18,116,30,82,78,74,97,110,94,126,83,118,143,150,158,143,127
LT,5,6,4,7,56,8,13,13,121,128,119,245,98,116,161,179,212,218,203,226,252,308,367,238
LU,1278,1174,1276,1035,1636,1574,2167,2001,2168,2357,3644,3238,3465,3460,4054,3669,4165,4179,3976,4436,4865,5168,6414,6322
MT,71,81,90,93,99,104,113,125,127,150,144,180,272,230,403,345,459,380,415,587,558,640,741,550
NL,3418,3583,3904,4273,4901,4817,5347,6194,6766,7575,7942,8435,9376,10411,11283,10991,11225,13370,13147,13947,16100,17463,17430,15406
PL,242,262,297,242,334,348,396,510,978,1315,983,1226,1116,1070,1250,1143,1570,1995,2191,2384,2050,2078,2438,1943
PT,615,708,735,619,723,754,746,890,875,859,1054,1093,1062,1074,1135,1237,1262,1286,1289,1421,1500,1699,1857,973
RO,40,48,53,59,65,81,87,96,107,140,294,338,346,434,429,456,633,623,771,846,927,1176,1268,861
SK,5,6,4,7,14,12,14,22,124,132,123,299,174,272,422,259,208,222,225,280,293,356,439,449
SI,5,6,4,9,11,56,4,18,93,111,42,45,45,47,36,70,105,109,95,128,159,141,185,97
