iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT,375,418,477,503,529,774,706,820,881,869,791,863,847,938,705,712,850,878,898,1175,929,1181,1493,962
BE,1194,1272,1447,1390,1556,1813,1860,1907,1952,1980,2234,2302,2193,1963,2262,2293,2555,2307,2598,2369,2579,2575,2842,2126
BG,41,41,47,50,51,78,93,219,330,299,309,398,266,284,401,330,405,423,413,553,663,823,891,628
HR,20,20,20,45,55,53,88,90,132,221,157,347,215,242,253,252,310,297,384,406,574,605,629,234
CY,743,812,902,1027,1225,1127,1292,1266,1372,1305,1316,1112,967,900,1037,998,907,709,817,875,986,895,1121,664
CZ,124,137,151,215,238,292,382,529,576,636,575,532,562,515,557,442,538,570,626,700,867,885,1124,711
DK,524,546,580,609,652,646,661,723,777,912,807,813,995,1079,985,959,1063,1192,1071,1174,1203,1267,1392,1599
EE,8,9,8,11,12,12,17,27,62,74,58,61,28,28,50,47,51,48,51,49,52,58,77,45
FI,221,228,265,285,265,253,293,266,346,368,373,363,447,489,615,511,549,490,469,462,442,556,557,361
FR,6113,6674,7438,8143,8340,8901,9298,9540,9643,10134,10124,9844,9228,8932,9052,9901,9460,9977,10331,10826,11632,14060,13047,11147
DE,3630,3959,4281,4464,4978,5291,5384,5699,6369,6796,8848,10492,9416,9745,9042,9450,9221,10188,9727,10536,11833,12049,11599,9523
GR,1388,1524,1687,1819,2147,2228,2304,2232,2286,2281,2017,1969,2004,1855,1985,1868,1805,1809,2130,2395,2409,2613,2790,1510
HU,77,82,95,100,141,158,179,244,385,530,568,604,656,745,842,831,930,1019,1170,1429,1684,1835,1734,648
IE,3380,3675,4032,4174,4142,4317,4838,5359,6043,6692,6910,7144,7783,7769,8393,8465,10052,10094,10819,12285,13010,16718,15856,7891
IT,2050,2229,2470,2651,2827,3272,3521,3579,4099,3910,3998,4158,3676,3595,3834,4172,4280,4270,4640,4861,4669,5719,5384,3674
LV,2,0,0,0,6,4,7,16,56,84,73,73,65,113,81,110,115,100,109,148,158,184,307,172
LT,19,19,20,21,23,32,32,39,99,162,214,183,191,204,275,289,269,311,313,394,431,533,563,389
LU,363,365,371,290,392,425,551,557,547,613,772,714,653,1537,1621,1577,1736,1998,2212,2285,2556,2451,2667,4404
MT,214,230,264,284,362,309,341,465,468,386,368,435,373,365,409,398,431,442,436,716,560,600,551,299
NL,1901,2059,2457,2525,2734,2926,3268,3306,3300,3580,3634,3654,3836,3926,4142,4241,5383,5233,5621,6634,7000,8197,8200,5879
PL,158,173,195,195,235,218,268,455,766,1292,1476,1633,1609,1743,1903,1811,2131,2184,2440,2640,3097,3199,3665,2791
PT,886,975,1089,1073,1223,1338,1466,1573,1573,1551,1510,1765,1403,1494,1531,1643,1678,1777,2296,2229,2288,2451,2590,1250
RO,33,34,39,40,48,45,53,122,180,207,183,256,305,331,368,434,527,722,845,1186,1502,1727,1844,1265
SK,1,1,1,1,1,25,14,45,121,196,171,239,230,159,164,169,183,231,246,223,305,476,553,802
SI,8,8,8,15,19,22,25,57,79,103,99,101,75,71,67,58,60,71,76,74,87,76,102,51
ES,5401,5910,6599,6943,7914,8870,10039,10183,10259,10658,8674,9077,8584,8250,7882,8146,8739,9026,9442,11225,12580,13174,14128,7256
SE,727,768,835,894,886,893,969,1014,1091,1159,1402,1574,1952,1785,2118,1877,1827,1891,2506,2228,2644,4059,4829,4320
4F,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
4A,0,0,0,0,0,0,0,0,0,0,0,1,4,0,122,157,4,8,0,3,2,30,0,30
AF,10,12,12,14,13,17,18,27,22,28,25,36,304,381,385,301,495,437,121,224,315,206,135,36
AL,0,0,0,0,0,0,0,0,0,1,7,14,24,9,37,28,37,15,27,26,19,43,44,61
DZ,56,61,71,100,94,82,74,100,117,82,108,67,81,83,143,144,42,40,69,83,45,48,80,33
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,43
AD,17,20,22,28,33,40,45,51,46,58,60,93,64,48,125,10,19,20,35,15,230,13,33,40
AO,73,73,80,89,98,130,155,162,143,167,166,131,454,307,152,54,133,138,123,269,93,122,90,59
AI,3,4,4,4,4,4,4,6,5,6,7,0,0,7,6,0,0,0,49,0,7,1,26,0
AQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,44,47,50,62,58,57,68,94,79,104,104,83,54,81,90,129,93,96,42,133,108,120,99,65
AR,35,33,38,52,55,54,52,61,67,108,116,116,119,127,133,110,100,120,105,219,177,196,217,187
AM,0,0,0,4,4,4,4,4,4,4,5,7,4,4,8,0,4,4,0,8,17,4,5,4
AW,10,11,12,15,14,13,15,23,19,25,24,18,6,26,45,39,48,48,31,21,3,14,8,9
AU,1039,1067,1199,1347,1471,1564,1740,1734,2181,2134,1869,1839,2049,2355,2391,2369,2486,2438,2441,2428,2800,2522,2554,2015
AZ,38,38,40,78,61,86,70,76,80,109,154,144,139,117,165,188,136,112,72,89,80,90,137,71
BH,21,21,23,24,29,29,36,44,49,57,72,75,84,155,82,59,24,25,98,35,90,68,157,104
BD,49,53,60,68,64,75,87,125,107,133,114,166,174,116,175,187,193,169,268,208,159,185,132,82
BB,223,234,258,312,290,287,341,476,395,520,521,612,357,416,356,365,111,114,233,225,275,148,223,148
BY,0,1,1,1,1,1,0,1,3,10,51,31,3,14,4,15,5,4,17,8,30,43,32,173
BZ,3,4,4,4,4,4,4,6,5,6,7,6,11,4,10,4,17,17,26,11,4,4,4,2
BJ,3,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,0,0,0,0,0
BM,587,616,680,822,765,757,898,1255,1042,1368,1376,1541,1440,1429,1210,991,496,509,668,1485,1601,1628,1277,849
BT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
BO,4,4,4,4,0,0,1,0,3,0,0,2,10,4,0,4,1,4,0,6,7,4,1,0
BQ,2,2,3,4,4,4,4,4,4,5,5,15,4,4,14,15,0,0,0,0,0,0,0,0
BA,4,4,4,7,8,9,10,11,10,13,13,9,67,11,82,39,23,24,28,117,20,24,38,28
BW,7,6,7,8,8,11,13,13,13,14,14,17,29,23,13,11,4,4,6,8,8,10,5,7
BV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,138,141,165,176,206,215,214,281,281,280,298,438,372,470,511,602,511,543,576,602,775,611,495,453
IO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VG,56,59,63,77,72,72,84,119,98,130,129,107,159,154,124,146,149,152,521,113,48,53,73,13
BN,0,0,0,0,0,0,0,0,0,0,0,4,4,7,17,8,4,4,4,6,6,1,2,2
BF,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,12,13,13,9,12,5,13,7
BI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KH,4,4,4,5,5,7,8,11,9,12,9,4,8,2,4,4,4,4,5,7,29,4,76,0
CM,4,4,5,5,6,9,10,11,9,11,12,19,36,28,17,8,19,21,24,11,6,7,12,21
CA,923,1001,1110,1221,1243,1178,1121,1209,1340,1527,1538,1719,1546,1756,2203,1643,1859,1792,1560,1920,2230,2470,3166,2135
CV,0,0,0,0,0,0,1,1,1,2,2,4,4,4,5,7,2,4,0,1,0,2,0,34
KY,28,28,32,38,35,35,41,58,48,62,63,55,35,55,102,219,872,893,574,371,180,214,451,205
CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TD,4,4,4,4,5,8,9,9,8,9,9,6,4,0,0,0,9,9,8,7,4,3,4,2
CL,39,34,34,40,32,22,24,68,72,9,55,56,73,47,46,43,50,81,73,96,84,105,136,83
CN,245,284,281,326,383,555,513,660,748,898,958,1199,1313,1234,1363,1252,1539,1619,2172,2000,1911,2140,2311,2164
CX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,12,12,10,14,4,5,7,8,8,34,53,17,48,70,78,51,67,54,52,123,159,145,113,83
KM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,8,8,8,9,10,13,16,17,14,17,17,19,29,18,9,8,35,37,37,135,27,25,23,21
CD,7,6,7,8,8,11,13,13,13,14,13,19,15,11,14,27,23,25,21,11,11,16,13,16
CK,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CR,21,22,25,28,28,28,33,46,38,49,49,65,36,33,104,48,70,70,83,90,121,90,148,186
CU,67,71,78,95,89,87,103,146,119,158,159,169,151,231,207,232,314,322,299,313,172,140,98,57
CW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,9,21,4,10
DJ,0,0,0,0,0,0,0,0,0,0,0,4,8,4,4,0,0,0,4,0,52,1,4,1
DM,3,3,4,4,4,4,4,5,4,6,5,15,0,0,10,4,4,4,13,4,0,0,0,0
DO,35,37,42,50,47,46,54,76,62,82,83,103,115,93,83,68,84,85,99,135,121,134,84,54
TL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
