COUNTRY_CODE,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4
AT,676,705,742,746,802,725,751,809,896,833,805,864,917,858,857,830,773,850,644,689,550,668,564,625
BE,3634,3877,4050,4073,4548,4808,5222,4309,4455,4910,5340,4406,4739,4454,4420,4399,4122,3162,3637,4328,4858,4802,4877,5697
BG,181,229,309,245,202,244,289,259,234,267,261,253,226,248,287,258,231,192,206,225,223,154,170,181
HR,64,66,67,76,74,86,104,97,84,130,187,118,98,120,140,105,99,88,100,85,65,66,63,62
CY,309,409,472,436,318,448,490,431,310,425,449,431,408,483,511,506,452,347,353,448,392,416,363,325
CZ,707,729,760,813,764,751,812,844,820,779,780,797,874,796,855,861,746,604,699,740,575,707,626,656
DK,1285,1358,1437,1514,1406,1486,1581,1567,1503,1617,1572,1602,1623,1500,1551,1679,1660,1415,1465,1740,1347,1621,1587,1651
EE,68,83,85,78,85,89,89,88,84,109,86,99,95,94,99,100,111,90,108,121,69,82,87,95
FI,560,637,606,624,609,603,664,717,655,662,680,794,796,727,750,812,734,630,664,620,509,545,544,606
FR,7625,8331,8426,8912,9143,9579,9710,9946,9832,10042,9670,10200,10525,9594,9872,9912,8897,6859,7859,7949,7132,8233,7915,8407
DE,11524,11950,12157,12943,14053,13688,13906,13849,13718,13428,13424,14283,14016,13118,13903,14278,13174,11377,11880,13224,10691,12298,11282,12312
GR,478,716,835,627,568,798,966,704,620,958,1153,800,595,814,1002,749,698,431,527,564,534,537,511,560
HU,466,485,521,539,553,514,566,532,537,522,537,567,569,536,573,574,735,624,443,672,553,543,647,681
IE,6931,7408,7585,8646,7957,8738,9159,10255,9701,10017,10213,11150,9688,9226,9937,10524,9240,8630,9845,11669,8346,10712,10362,11905
IT,3700,4072,4225,4139,4095,4262,4074,4092,4294,4297,4182,4500,4339,4403,4441,4473,4002,2968,3621,3707,3146,3727,3564,3567
LV,76,94,105,107,105,114,148,124,124,130,154,141,120,114,159,138,141,95,152,164,98,127,160,167
LT,111,130,150,167,189,210,232,218,171,207,201,215,185,276,237,219,187,124,191,178,165,202,208,211
LU,1118,1136,1145,1247,1353,1204,1270,1305,1422,1344,1298,1375,1447,1676,1683,1854,1707,1680,1483,1755,1972,2066,2222,2385
MT,220,248,247,268,289,265,253,266,315,279,295,404,896,503,415,354,324,221,236,282,259,232,218,201
NL,7744,8144,8453,8627,9160,9306,9631,10308,10586,11527,10705,11466,10963,10406,10300,10328,9839,7882,8500,9546,9297,10201,10726,11731
PL,1459,1639,1736,1766,1613,1653,1844,1899,1749,1858,1819,2023,2011,2011,1923,1885,1873,1371,1678,1753,1297,1544,1551,1624
PT,619,728,766,742,683,767,849,759,782,821,866,824,727,942,954,829,757,511,624,636,544,522,629,614
RO,435,459,505,483,506,519,573,558,582,606,652,660,592,627,670,676,647,366,486,499,459,470,464,458
SK,186,203,199,219,208,233,235,220,227,238,244,263,329,368,402,435,388,256,361,396,313,398,362,356
SI,81,96,94,98,109,99,114,110,109,106,143,117,119,109,119,124,100,103,75,91,78,113,89,91
ES,3706,4588,4401,4771,4405,4816,5020,4709,4435,4803,4900,4729,4501,4718,5288,5001,4249,3073,3185,3625,2971,3142,3448,3536
SE,2044,2159,2142,2253,2335,2361,2276,2369,2868,2829,2595,2845,2448,2285,2382,2581,2404,2129,2335,2560,2092,2319,2238,2589
AF,50,60,55,63,59,60,64,64,54,40,46,56,47,56,58,47,30,44,30,17,29,14,10,10
