COUNTRY_CODE,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4
AT,985,1108,1157,1102,1015,1020,1158,1046,1287,1162,1263,1275,1384,1291,1433,1252,1200,880,1081,1258,1013,1063,1099,1074
BE,6143,6304,7008,7191,7472,6879,6983,7349,7468,7219,7211,7404,7959,6465,7624,6908,6266,5070,6458,7649,5031,6650,6792,6781
BG,199,227,288,250,245,268,325,276,290,310,405,329,307,397,428,362,317,272,238,276,301,270,285,296
HR,91,132,168,115,138,211,230,147,152,183,248,161,158,191,404,237,162,75,91,104,70,99,150,135
CY,212,270,349,215,246,284,362,241,218,264,341,233,304,455,564,284,343,159,458,223,469,379,283,295
CZ,1462,1454,1476,1565,1588,1503,1620,1623,1704,1631,1654,1721,1911,1657,1811,1734,1477,1000,1314,1491,1159,1245,1368,1314
DK,1112,1312,1313,1333,1495,1397,1848,1454,1553,2257,1975,2130,1639,2465,2039,1813,1676,1527,1376,1898,1462,1660,1670,1612
EE,71,69,65,80,66,77,75,61,68,64,73,65,83,84,73,84,63,48,90,61,63,120,73,85
FI,584,654,774,646,598,751,771,688,695,706,804,846,751,715,838,710,682,483,587,1490,570,587,626,727
FR,8572,9059,9501,9429,9464,10028,10230,9884,9938,10420,11225,11569,11753,10549,11450,10711,9726,7460,8626,9731,7664,8449,8734,8888
DE,17820,18294,18924,18962,20157,19736,20517,19693,20261,20671,19096,19710,20901,18533,18891,18847,16848,12108,16797,20464,14460,15821,15924,16450
GR,642,746,1065,757,718,834,1060,719,771,919,1132,817,799,905,1203,882,808,483,547,608,540,791,898,833
HU,966,969,1088,1070,1041,1119,1158,1116,1145,1143,1168,1172,1223,1121,1230,1183,875,648,850,900,684,700,759,745
IE,5584,5906,6831,6929,6050,7031,7316,6982,6869,8026,7685,7721,6898,7349,7897,7519,5862,4994,5226,5329,4591,5068,5123,5286
IT,4869,5856,5688,5806,5381,5746,6082,5888,6322,6017,6376,6586,6178,6221,6538,6286,5864,4161,5189,5999,4735,5432,5347,5465
LV,201,197,232,203,181,201,205,179,171,235,279,268,283,255,297,246,239,195,209,267,266,282,387,333
LT,265,323,290,310,264,299,323,284,385,313,382,322,354,366,375,322,306,252,356,389,315,324,351,363
LU,640,613,711,725,687,737,754,768,640,640,784,794,907,773,788,793,1129,1241,1201,1305,1168,1282,1305,1425
