country_code,country_name,subject,scale,units,year_2020,year_2021
AFG,Afghanistan,"Gross domestic product, constant prices",Percent change,,-3.007,4.495
AFG,Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,74.792,79.678
AFG,Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.291,3.063
AFG,Afghanistan,"Inflation, average consumer prices",Percent change,,4.711,4.451
AFG,Afghanistan,"Inflation, end of period consumer prices",Percent change,,4.5,5
AFG,Afghanistan,Unemployment rate,Percent of total labor force,,,
AFG,Afghanistan,General government net lending/borrowing,Percent of GDP,,-4,-2.007
AFG,Afghanistan,Current account balance,Percent of GDP,,4.898,5.753
ALB,Albania,"Gross domestic product, constant prices",Percent change,,-5.006,8
ALB,Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,38.078,41.926
ALB,Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.854,8.173
ALB,Albania,"Inflation, average consumer prices",Percent change,,2.39,2.75
ALB,Albania,"Inflation, end of period consumer prices",Percent change,,2.6,2.9
ALB,Albania,Unemployment rate,Percent of total labor force,,11.8,11.5
ALB,Albania,General government net lending/borrowing,Percent of GDP,,-5.393,-3.066
ALB,Albania,Current account balance,Percent of GDP,,-11.226,-8.11
DZA,Algeria,"Gross domestic product, constant prices",Percent change,,-5.157,6.231
DZA,Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,638.363,691.364
DZA,Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.907,4.351
DZA,Algeria,"Inflation, average consumer prices",Percent change,,3.5,3.7
DZA,Algeria,"Inflation, end of period consumer prices",Percent change,,3.3,4
DZA,Algeria,Unemployment rate,Percent of total labor force,,15.091,13.909
DZA,Algeria,General government net lending/borrowing,Percent of GDP,,-14.952,-10.102
DZA,Algeria,Current account balance,Percent of GDP,,-18.278,-17.057
AGO,Angola,"Gross domestic product, constant prices",Percent change,,-1.374,2.644
AGO,Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,199.329,208.589
AGO,Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.246,-0.346
AGO,Angola,"Inflation, average consumer prices",Percent change,,20.719,22.282
