app_number,number,employees,mobile_number,email_address,website,linkedin_url,facebook_url,twitter_url,name,expertise_products_services,expertise_industries,expertise_regions,expertise_languages
32,11318225,0 - 19,7709577751,genlin@ukets.co.uk,www.ukets.co.uk,,https://www.facebook.com/profile.php?id=100065065088163,,UK Education & Tutor Services Ltd,"{""Business Support"":[""Business relocation"",""Planning consultants"",""Staff and family relocation relocation (including schooling for children)""]}","[""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""LEGAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""CH"",""AR"",""IN""]"
11,7086058,500+,02071972420 x1111,kevin.copping@gmail.com,www.ebury.com,https://www.linkedin.com/company/ebury,https://www.facebook.com/EburyFintech/,https://twitter.com/Ebury_Fintech,EBURY PARTNERS LIMITED,"{""Finance"":[""Opening bank accounts"",""Regulatory support""]}","[""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""BUSINESS_AND_CONSUMER_SERVICES"",""EDUCATION_AND_TRAINING"",""ENVIRONMENT"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""METALS"",""MINERALS_AND_MATERIALS"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""CH"",""JA"",""KO"",""PT"",""IT"",""DE"",""IN"",""AR"",""IN""]"
70,7257316,0 - 19,7885201444,mike@deviceaccess.co.uk,www.deviceaccess.co.uk,https://www.linkedin.com/company/device-access-uk-ltd/,,,Device Access UK Ltd,"{""Business Support"":[""Planning consultants""]}","[""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""LIFE_SCIENCES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN""]"
143,8266008,100 - 249,7495695913,matthew.brown@jacksonhogg.com,https://www.jacksonhogg.com/,"https://www.linkedin.com/company/jacksonhoggrec/mycompany/verification/,",,,Jackson Hogg Limited,"{""Human Resources"":[""Employment and talent search"",""Sourcing and hiring"",""Staff onboarding (including new starter support and contracts of employment)""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""CHEMICALS"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""LIFE_SCIENCES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RENEWABLE_ENERGY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""WATER""]","["" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST""]","[""EN"",""CH"",""GR""]"
142,8343939,20 - 49,0207 175 9771,contact@privacysolved.com,https://www.privacysolved.com/,https://uk.linkedin.com/company/privacysolved,,https://twitter.com/PrivacySolved,Privacy and Information Compliance Solutions Limited,"{""Management Consulting"":[""Product safety regulation and compliance"",""Risk consultation"",""Strategy and long-term planning""],""Legal"":[""Data protection and information assurance"",""Intellectual property""]}","[""ADVANCED_MANUFACTURING"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""PT"",""IT"",""DE""]"
115,8649805,20 - 49,7900981785,james@wearequantum.co.uk,https://www.wearequantum.co.uk,https://www.linkedin.com/company/quantumbigideas/,,,Quantum Marketing (Europe) Limited,"{""Management Consulting"":[""Business Development"",""Strategy and long-term planning""],""Publicity"":[""Branding"",""Marketing"",""Social Media""]}","[""BUSINESS_AND_CONSUMER_SERVICES"",""CREATIVE_AND_MEDIA"",""FOOD_AND_DRINK""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN""]"
6,9514092,0 - 19,7584072957,clive@firstofficehub.com,www.firstofficehub.com,,,,CSB Business Advisory Services Ltd,"{""Business Support"":[""Business relocation""]}","[""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""COMMUNICATIONS"",""CREATIVE_AND_MEDIA"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""LEGAL_SERVICES"",""OIL_AND_GAS"",""POWER"",""RENEWABLE_ENERGY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""PT""]"
41,9936382,0 - 19,7702468009,info@ecls-translations.com,https://eclstranslations.co.uk/industries/,https://www.linkedin.com/company/ecls-translations/,,,ECLS TRANSLATIONS LIMITED,"{""Publicity"":[""Marketing"",""Translation services""]}","[""ADVANCED_MANUFACTURING"",""AIRPORTS"",""AUTOMOTIVE"",""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LEISURE_AND_TOURISM"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","[""MIDLANDS""]","[""EN"",""FR"",""ES"",""IT"",""DE""]"
34,10531529,50 - 99,07971 352657,jhogan@coppergateglobal.com,https://www.nationalcorporatehousing.com,,,,National Corporate Housing UK Ltd,"{""Business Support"":[""Staff and family relocation relocation (including schooling for children)""]}","[""AEROSPACE"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""CHEMICALS"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""MINING"",""OIL_AND_GAS"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""CH"",""CH""]"
37,11399924,500+,44 20 4582 5970,winnie.seowmei@hawksford.com,https://www.hawksford.com/,https://www.linkedin.com/company/hawksford/,,,HAWKSFORD UK SERVICES LIMITED,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Opening bank accounts""],""Business Support"":[""Business relocation""]}","[""ADVANCED_MANUFACTURING"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""RAILWAYS"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""CH"",""CH"",""IT"",""DE"",""IN"",""RU""]"
