app_number,id,number,employees,mobile_number,email_address,website,linkedin_url,facebook_url,twitter_url,name,expertise_products_services,expertise_industries,expertise_regions,expertise_languages
81,2502,4871660,0 - 19,7917048779,michael.millward@abeceder.co.uk,https://www.abeceder.co.uk,,,,Abeceder Limited,"{""Human Resources"":[""Employment and talent search"",""Salary benchmarking and employee benefits"",""Staff onboarding (including new starter support and contracts of employment)""],""Business Support"":[""Business relocation"",""Planning consultants"",""Staff and family relocation relocation (including schooling for children)""]}","[""ADVANCED_MANUFACTURING"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS"",""WATER""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""PT"",""DE"",""AR"",""GR""]"
22,4567,9568439,0 - 19,2078460076,client.services@storm-7.com,www.storm-7.com,https://www.linkedin.com/company/storm-7-consulting-ltd/?originalSubdomain=uk,,,Storm-7 Consulting Limited,"{""Management Consulting"":[""Business Development"",""Commercial/pricing strategy"",""Risk consultation""],""Legal"":[""Company incorporation"",""Immigration""]}","[""BUSINESS_AND_CONSUMER_SERVICES"",""COMMUNICATIONS"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""LEGAL_SERVICES"",""RENEWABLE_ENERGY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST""]","[""EN"",""ES"",""DE""]"
110,6146,OC352466,50 - 99,44 207 478 9010,pdm@sherrards.com,www.sherrards.com,https://uk.linkedin.com/company/sherrards-solicitors,,,Sherrards Solicitors LLP,"{""Legal"":[""Company incorporation"",""Employment"",""Immigration""],""Business Support"":[""Business relocation"",""Planning consultants"",""Staff and family relocation relocation (including schooling for children)""]}","[""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""LEGAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""CH"",""IT"",""DE"",""IN"",""RU"",""TR"",""UK"",""PO"",""ZA"",""NL""]"
57,6680,11314269,0 - 19,2030512375,contactus@theofficeproviders.com,https://www.theofficeproviders.com,https://www.linkedin.com/company/the-office-providers/,,,The Office Providers (TOPS) Ltd,"{""Business Support"":[""Business relocation""]}","[""FINANCIAL_AND_PROFESSIONAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN""]"
80,8302,11196729,0 - 19,447845627452,gareth@gentiuminternational.com,www.gentiuminternational.com,,,,Gentium International Ltd.,"{""Management Consulting"":[""Product safety regulation and compliance"",""Risk consultation"",""Strategy and long-term planning""],""Business Support"":[""Business relocation"",""Staff and family relocation relocation (including schooling for children)""]}","[""ADVANCED_MANUFACTURING"",""AIRPORTS"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""COMMUNICATIONS"",""CONSTRUCTION"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""LEGAL_SERVICES"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""WATER""]",,"[""EN""]"
76,9150,11020762,20 - 49,7851020856,carl@centuroglobal.com,https://www.centuroglobal.com/,https://www.linkedin.com/company/27091826/admin/feed/posts/,,https://twitter.com/CenturoGlobal,CENTURO GLOBAL LIMITED,"{""Management Consulting"":[""Business Development"",""Workforce development""],""Legal"":[""Company incorporation"",""Employment"",""Immigration""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AIRPORTS"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS"",""WATER""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS""]","[""EN"",""FR"",""ES"",""DE"",""IN"",""RU"",""IN""]"
30,9230,4935480,20 - 49,44 (0)20 8966 9222,ntaylor@managementanswers.co.uk,www.managementanswers.co.uk,https://www.linkedin.com/in/nigeltaylorima/,,,International Management Answers (IMA) Ltd,"{""Human Resources"":[""Staff onboarding (including new starter support and contracts of employment)""],""Business Support"":[""Staff and family relocation relocation (including schooling for children)""]}","[""AUTOMOTIVE"",""BUSINESS_AND_CONSUMER_SERVICES"",""LIFE_SCIENCES"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" SOUTH_EAST""]","[""EN"",""CH"",""CH""]"
127,9237,5662339,0 - 19,44 208 426 1750,rita.shah@jsklaw.co.uk,www.jsklaw.co.uk,,,,JSK LAW LTD,"{""Legal"":[""Employment"",""Immigration""]}","[""LEGAL_SERVICES""]","["" LONDON""]","[""EN"",""IN"",""IN""]"
113,9238,11296256,0 - 19,2045098983,contact@prohal.co.uk,www.prohal.co.uk,https://www.linkedin.com/in/prohal-accountants-50863816a/,,,ProHal Ltd,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Opening bank accounts"",""Regulatory support""],""Management Consulting"":[""Business Development"",""Strategy and long-term planning"",""Workforce development""]}","[""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""HEALTHCARE_AND_MEDICAL"",""LEISURE_AND_TOURISM"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""IN"",""BN"",""KN"",""IN""]"
226,9240,8597472,500+,44 7706 338 769,cher.young@gateleyglobal.com,https://gateleyplc.com/gateley-global,https://www.linkedin.com/company/gateley-global/?originalSubdomain=uk,,,Gateley Global Limited,"{""Finance"":[""Mergers and acquisitions"",""Opening bank accounts"",""Regulatory support""],""Management Consulting"":[""Strategy and long-term planning""],""Human Resources"":[""Salary benchmarking and employee benefits""],""Legal"":[""Company incorporation"",""Immigration"",""Intellectual property""]}","[""ADVANCED_MANUFACTURING"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CONSTRUCTION"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""LEGAL_SERVICES"",""RENEWABLE_ENERGY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""CH"",""IT"",""RU"",""MS""]"
