app_number,description,is_published_case_study
32,"In 2022,We provided help for Aleees Group( www.aleees.com) from Taiwan to apply for a UK sponsor licence to help one of the directors and other staff from Taiwan get a Skilled Worker and Global Business Mobility Visa permit. This company was established in France in 2022 to extend its EU branch. However, the head office members meet the language barrier. Therefore, the director was seeking DIT Taiwan's help to guide it in resettling the EU branch in the UK. After we reviewed the whole group's documents, we figured out that much of the vital information which the Immigration department required was all Mandarin and not qualified. So, we provided particular suggestions and business partner links in the UK and Taiwan to help Aleees Group to prepare all the documents to apply for the sponsor licence it needs to resettle in the UK as soon as possible and also worked with our UK relevant laws partner to provide employment contracts to help the company comply the UK law requirements. This company is already speedy finished the established stages and blooming from hiring one UK employee to seven this year.",TRUE
32,"We are currently providing suggestions to support a company ( Marhaba Laboratories (PVT) LTD, www.marhaba.com.pk ) from Pakistan to consider establishing a branch in the UK. Marhaba has many distributors in many countries and exports its products to over 30 countries globally. Lately, the director has been concerned about the UK market and its logo because the UK sole distributor runs a brand similar to Marhaba. After we provided checking the logo owner in the UK, Marhaba's director sought to establish its branch in the UK to take back the UK market and run by itself. Now, he is looking for a suitable person to establish the UK branch to move forward to run the UK market.",TRUE
11,"Renewable Energy NGN Case Study An intermediary reached out to inquire about our currency capabilities, specifically in frontier markets. Subsequently, we engaged in a call with their client to gain a deeper understanding of their situation.  The client had been involved in the development of multiple solar projects in Nigeria, where, due to government and banking regulations, their Nigerian customers began making payments in local currency (NGN). This resulted in the client accumulating approximately USD 1.5 million equivalent in NGN, which posed cash flow constraints as it was difficult to sell NGN due to limited liquidity in the right-hand side of the market.  However, leveraging Ebury's extensive expertise in handling exotic currencies and our strong relationships with local banks and liquidity partners, we were able to offer a solution by providing the client with dedicated NGN accounts for local collection and subsequent conversion into major currencies such as GBP, USD, or EUR.  Within a short span of 4 days, Ebury successfully onboarded the client, established their local NGN account, and initiated discussions regarding pricing. Throughout this process, we conducted thorough due diligence on the client's documentation.  Once the account was set up, Ebury provided a comprehensive quote for the total funds required to be deposited into the NGN account to cover the 1.5 million USD equivalent. The client seamlessly executed the payment, allowing Ebury to promptly convert the NGN into USD on behalf of the client, thereby resolving their cash flow challenges.",TRUE
11,"Ebury Hong Kong currency collection capability Industry: Logistics Country: United Kingdom, Hongkong Background: The client is an international logistics company located in the United Kingdom. Its main business is to transport goods between Hong Kong and the United Kingdom. It collects a large number of CNH, HKD, and USD every year. Last year, the GBP/CNH exchange rate once fell below 8.0, which it’s a good opportunity to sell CNH and buy GBP. The account manager at Ebury’s UK China desk immediately contacted Mr. Li, CEO of the logistics company, opened a Domiciliary CNH account in Hong Kong for Mr. Li’s company and locked the exchange rate at 7.9. At present, the pound has risen above 9.1. Tailored hedging strategies to maximise profitability Some logistics companies and companies that rely on international logistics for trade usually face higher exchange rate risks. Mr. Li's company mainly undertakes the transportation of goods in Hong Kong and Mainland China, so it often receives a significant amount of local payments in CNH, HKD or USD. Since the company is located in the UK, the funds need to be converted into GBPBritish pounds to operate.  Mr. Li said: ""Ebury's service is very professional and attentive. If my relationship manager hadn't reminded us in time and updated us with the latest market movements, we would have missed this exchange rate price. It reduced our expenditure by us at least 400,000 yuan expenditure on foreign exchange，and increased our revenue by more than 10%."" Logistics without borders! Manage the global cash flows with ease The nature of a multinational business makes dealing with different currencies around the world inevitable. How he manages and uses his fund is a major concern for Mr Li.  ""We are a UK business, but we have a large number of Chinese clients who tend to pay for shipping in CNH, HKD and USD."" says Mr Li. By linking to his Ebury collection account, Mr Li has control over the use of CNH, USD and GBP and can easily track every payment arriving in the collection account in real time by simply logging into the Ebury platform. One account in hand, worry-free global collection Ebury's global payment capabilities and cross-border logistics industry can be described as excellent partners. Ebury's strong currency capabilities cover the world and can help companies open currency accounts globally instantly. Mr. Li said, ""After learning about our needs, my Ebury account manager immediately helped me open accounts in Hong Kong and the UK. The process only took an hour."" Ebury has local Chinese-speaking teams around the world. ""The team in Hong Kong and the UK really help us a lot as there is localised knowledge to understand our needs and make the most appropriate suggestions in the shortest possible time.“ Mr. Li noted. Now Mr. Li can freely use 29 different currencies, and newly added 17 exotic currencies, mainly African currencies, a total of 40+ currencies for trade needs.",TRUE
70,"Cerebrotech Medical Systems Inc Device Access attracted Cerebrotech Medical, Pleasanton USA into the UK market by supporting them through connections with the NIHR network so they could run a study in Newcastle University Hospital. Cerebrotech had invented a new technology for the triage of stroke patients. The technology is still under research and the company established a UK entity in 2014 to prepare for further growth. Device Access worked collaboratively with the UKTI Team (Marg Parton and Teresa Agin) and later the technology was reviewed by NICE. https://www.nice.org.uk/advice/mib165",FALSE
70,"Device Access supported NxThera a novel Minneapolis based company in growing their urology business through the NHS. Their initial goal was to find UK NHS Centres interested in a clinical study to show that the new treatment for prostate could be utilised in the NHS. Device Access worked collaboratively with the NIHR, NICE and NHS England to support the introduction and growth of the technology into the NHS. This resulted in a positive NICE evaluation and subsequent acquisition of the business by Boston Scientific UK. Device Access helped demonstrate the affordability of the technology though NICE and helped identify centres of excellence and NHS Centres that would benefit most from the new key hole treatment.",FALSE
143,"After its acquisition by Carlyle Investment Group, Pirimal faced the challenge of scaling up its organisation to accommodate rapid growth. Jackson Hogg partnered with Pirimal to fill over 30 critical positions, including Supply Chain Director, Engineering & Facilities Director, UK Head of EHS, and Managing Director. Pirimal's acquisition brought the need for a swift and strategic talent acquisition process to strengthen the organisation's leadership and operational capabilities. Hiring for key positions was crucial to ensure seamless operations and to align the new team with Pirimal's vision. Jackson Hogg collaborated closely with Pirimal's leadership to understand their requirements. We conducted a comprehensive talent mapping exercise, identifying potential candidates with a deep understanding of the pharmaceutical industry and the necessary leadership qualities. Leveraging our vast network, Jackson Hogg also initiated targeted executive searches to find high-caliber professionals. We focused on candidates with proven track records and cultural alignment with Pirimal's values. Rigorous assessments were conducted to ensure candidates possessed the technical expertise and leadership skills required for each role. Jackson Hogg's strategic talent acquisition efforts yielded impressive results for Pirimal. Within a short period, Jackson Hogg successfully filled over 30 critical positions, ensuring Pirimal's operational continuity and future growth prospects. The new leadership team brought extensive experience to Pirimal, accelerating decision-making and driving innovation. By focusing on cultural fit, the new team seamlessly integrated into Pirimal's culture, promoting a positive work environment. Jackson Hogg's strategic talent acquisition played a pivotal role in supporting Pirimal's post-acquisition scaling efforts.",FALSE
143,"Jackson Hogg worked with the Turntide US HR team on the creation of a new Finance team to centralise their UK company accounts and feed into US group. Through multiple briefing meetings, retained processes, Jackson Hogg was able to gain a thorough understanding of the business, culture, objectives and challenges associated. After successful process and interviews, Jackson Hogg were able to secure the placement of their Chief Financial Officer, Financial Controller, Group FP&A Manager and FP&A Accountant. Turntide very happy with our service and support and all candidates placed are still in post. Since the recruitment project, Jackson Hogg has maintained a strong relationship with Turntide.",FALSE
142,"A NASDAQ-listed Netherlands and USA based mRNA biotechnology and pharmaceutical company wanted to establish a research and development presence in the UK. It also wished to partner with two of the UK’s leading NHS bodies. It also wanted support to risk assess and manage its new UK supply chain, review GDPR compliance and seek UK regulatory support services. PrivacySolved updated the company’s data governance policies and procedures. We reviewed the complex R&D agreements and data transfers agreements with the NHS. We offered a UK GDPR compliance package of data protection notice updates, UK Record of Processing Activities (ROPA), DPIA audits and reviews of the USA, Netherlands, and UK international data transfers. We also offered a continuous UK regulatory representative service for two years. The PrivacySolved Insights Team provided the client with Risks and Compliance Reports setting out the client’s current position, risk profile, UK parliamentary developments, UK policy changes and the important Brexit-affected developments to monitor and review in the future. The outcomes included reducing and managing evolving UK data protection risks using our reliable local expertise and adding depth and reach to the existing data governance and security teams in the Netherlands. The company also strengthened its data breach response capacity to solve supply chain cyberattacks. PrivacySolved helped them to create an enlarged UK ecosystem of research and development in cutting edge mRNA technologies and rear disease research. The company also saved costs by using our ongoing subscription-plus-added-services model to support their ongoing resilience in the UK market.",TRUE
142,"A US Fortune 500 Silicon Valley global data management company entered with UK and Ireland market, creating its new international hub. Three regions, including London and Berkshire would share in over 1000 new jobs over 5 years. The company needed professional services support in data protection, cybersecurity and emerging technology risks. The business needed to complete early-stage EU AI Act supply chain reviews for the UK. The company also requested insights on key regulators and stakeholders. The PrivacySolved team prepared reports on the UK and Ireland data protection and cybersecurity landscape. We identified key bodies, regulators, policy developments and the risk landscape in the sector. PrivacySolved completed supply chain impact assessments of key artificial intelligence and machine learning technologies: AI in new cybersecurity software, AI meeting assistants and machine learning tools in cloud technology. We also provided legal and regulatory support with international data governance issues affecting the UK operations from the EU, USA, India, Iceland and Israel. We helped to record and investigate data breaches and cyber incidents and developed a Data Protection Impact Assessment (DPIA) prioritization programme. The outcomes included helping the company to assess its data and cyber risk profile in the UK and Ireland and understand important datasets, negotiate data deals and manage supplier risks. Our work helped the company to comply with UK/EU data protection and emerging EU AI laws, improved data transparency and reduced cloud services data risks. We also helped the leadership team to drive better governance decision-making in the UK operations.",TRUE
