app_number,company_id,description,is_published_case_study
81,2502,"We assisted a Canadian company who wanted to expand into the UK to assess the timing of their entry, the investment required, their set-up location, and their staffing needs. This involved assessing their existing Canadian business to identify how they might have to adapt their head office operations to support an expansion into the UK. We assessed their operating model and policies and procedures. We then highlighted how these conflicted with UK legislation and cultural norms. Using our knowledge of both Canadian and UK employment law and practice we proposed compromise solutions that would eliminate the conflicts in how the two businesses would operate. We helped them to identify the investment that would be required to establish a business in the UK. This included the costs of relocating a senior manager and hiring and training a UK workforce. We also helped them to identify the support they might be able to gain from UK Government grants. Given the onset of the COVID lockdown, the Company decided to delay their international expansion.",TRUE
81,2502,"We helped a USA based technology tailor their training management tool they had developed for the UK market and to then launch the tool in the UK. We researched whether there was a need for an additional player in the market, and then organised taster events for potential UK based customers to try the tool. We identified and explained how, to accommodate the requirements of the UK market, the way the tool should be marketed in the UK would have to be different to the approach taken in the USA. We created a launch strategy, including marketing activities, publicity opportunities. At the time of writing the project is on-going",TRUE
22,4567,"A firm from India was seeking to obtain a range of advice pertaining to setting up a company in the UK, business bank accounts in the UK, and foreign visas for foreign workers coming to work in the UK. We quickly provided comprehensive initial advice regarding these issues and provided the firm with anticipated timelines and costs involved with every stage of the FDI process. The Indian company was able to make swift decisions based on the FDI 'roadmap' that we provided.",FALSE
22,4567,"A lawyer from Cyprus contacted us and wished to have information and advice relating to the establishment of different entities in the UK, the Maldives, and the Cayman Islands. The FDI was complicated because it did not just relate to setting up new entities, but also the transfer of an existing foreign legal entity to another jurisdiction. We are able to provide a high-level explanation of the different processes involved, the potential timelines, and the potential costs invovled with such endevours. This information was passed on to the lawyer's clients in a timely manner.",FALSE
110,6146,"Sherrards have recently acted for Participation Gestion Developpement Industriel (“Sphering Group”) a listed French based organisation. The Sphering Group is a front-line player in flue and air care in Europe with a renowned expertise in design, manufacturing and distribution of innovative high-quality chimney and ventilation systems. The Sphering Group wanted to expand its European presence with a location in the UK and targeted a competitor, SFL Ltd, previously part of the Stamm International Corp. who was the No. 2 manufacturer of flues and chimneys in the UK with well-established distribution in the USA and Far East. Sherrards were introduced to Sphering Group via the London division of the French Chamber of Commerce and were quickly instructed to assist on the targeted acquisition of SFL. This was Sphering Group’s first targeted UK acquisition of a trading business, and the deal took almost two years to complete due to the cross jurisdictional nature and complexities in the company raised during the research phase and resulting in a complicated escrow fund held by J P Morgan on behalf of the parties and to cover against potential and significant risks of claims associated with the trading business. The acquisition was eventually successful and adds R&D capabilities and a sixth manufacturing plant to Sphering Group’s industrial capacities already operating in France, Italy, Belgium, Germany, and Poland. With the integration of SFL teams, the Group now employs 800 people across Europe.",TRUE
110,6146,"Sherrards assisted Chinese company Guangdong Xinbao Electrical Appliance Holdings, which trades under the brand Donlim, with English law aspects for the acquisition of the entire share capital of Morphy Richards Consumer Appliances Limited (MRCA), incorporated in England. Sherrards coordinated directly with Donlim and acted alongside a major law firm in China, as the transaction was subject to extensive negotiations, including requiring approval from the Chinese government. The transaction completed in March 2023. Donlim is headquartered in Shunde, Guangdon, China, and is a major manufacturer of home kitchen appliances and other electrical products, with over 28,000 staff and revenues of RMB 14.9 billion in 2021. Donlim wished to expand its portfolio of international brands by acquiring Morphy Richards, a well regarded British brand established in 1936, and for whom Donlim had been manufacturing products under contract for some time. MRCA was, before the transaction, owned by Glen Dimplex, an Irish company, and has substantial operations in the UK in addition to other major markets in China, Ireland, Australia and New Zealand. Glen Dimplex retained the rights to the Morphy Richards brand in other key international markets. The transaction received significant press coverage in the UK and Ireland. Following completion, Donlim has acquired a permanent presence in the UK and will use this as a platform to expand its consumer appliances offering in the UK market, as well as now having the benefit of an esteemed British brand to use in its operations overseas.",TRUE
57,6680,"A high-profile American technology company was seeking serviced office space in Manchester. They required 4 private offices with one desk in each, as well as access to around 20 co-working desks for when hybrid workers came into the office. They also required access to variously sized meeting rooms for one-to-one interviews as well as onboarding sessions and various collaborative tasks. They required the space within 6 weeks. We searched the market for on-market opportunities and tapped into our network to find off-market availability and presented our findings with cost analyses. Viewings were arranged within 10 days to allow the relevant parties to fly into Manchester. Following this, a shortlist was created and we set about assisting the client in negotiating an optimal deal. The deal was completed within 4 weeks and, as with all occupiers, no fee was paid to us.",TRUE
57,6680,"A French fashion company was seeking office space in the West End of London and came to us with a rather broad brief. We established that the company’s client base was centered around Covent Garden so we set about searching for a managed space with room for 10 desks initially. They had specified that they would need to be able to easily expand their footprint as their London presence increased. We presented our findings, arranged viewings and helped the client negotiate a deal within a flex space building. As opposed to a lease, the space was held on a flexible short-term licence so the client could easily move into a larger suite when the time was right for them. Again, this was a completely free service.",TRUE
80,8302,"Client One, are a California-based Defence Contractor, supporting the MoD on various projects. 1. Goal: The client incorporated in the UK in 2019 and required support in establishing their operations and employment compliance obligations, as they looked to put in place the foundations for growth and expansion in the UK – in support of an MoD training project. Over this period, we have supported them with retained employment consulting experience relating to both the UK and other locations around the world. 2. Engagement: The client were referred to Gentium by a global legal firm with whom we have worked extensively. The client engagement and relationship has primarily been through the UK-based Managing Director, but also with Senior decision makers in the US. 3. Outcome: We have enjoyed three successful years in providing a multitude of HR-related services to this Company. Our Professional HR experience and Military Service has enabled a great relationship. Gentium hopes to expand its support to this business in other geographical locations. We enjoy a positive, trusting and enjoyable relationship. We have brought a very beneficial international perspective to our US colleague’s mission.",TRUE
80,8302,"Client Two are a UK arm of a significant US based hedge fund, who look to grow and develop their investments in UK opportunities. 1. Goal: The client goal was a multi-million-pound Stirling investment to save a major and well known airline from Administration and then re-establishing it as a new airline “start-up”. This was an incredibly complex, technical and expensive project to execute, but some superbly talented and experienced professionals were central to this investment, which further incorporated both Regulatory and Ministerial approval (UK Gov, CAA & EU) and stringent compliance obligations. 2. Engagement: The client was referred to Gentium by a well-known City law firm, and the commercial agreement was with the UK arm of the Investors. The engaging relationship for Gentium’s services was then held directly with the Senior decision makers incoming CEO of the airline, the Investing Capital Partner and also a multitude of other stakeholders, including Regulatory bodies. 3. Outcome: Gentium delivered a very successful Consultation process, required to bring the Airline out of Administration. The exercise included a TUPE transfer of employment, alongside potential redundancies, engagement, geographical transfers and a new employment “set up”. The very successful project led to a request that to be appointed as an Non Executive Director (NED) to the Board, following CAA approval.",TRUE
