country,sector,service
denmark,railways,datahub
new zealand,education and training,datahub
poland,life sciences,datahub
portugal,financial services (including professional services),datahub
austria,financial services (including professional services),datahub
france,power : nuclear,datahub
italy,"agriculture, horticulture and fisheries",datahub
france,ict,datahub
sri lanka,"agriculture, horticulture and fisheries",datahub
germany,construction,datahub
indonesia,defence and security,datahub
trinidad and tobago,construction,datahub
canada,oil and gas,datahub
canada,creative and media,datahub
china,education and training,datahub
united states,creative and media : architecture,datahub
china,automotive,datahub
china,automotive,datahub
dominican republic,financial services (including professional services),datahub
japan,automotive : component manufacturing,datahub
france,defence and security,datahub
china,financial services (including professional services),datahub
united states,biotechnology and pharmaceuticals,datahub
mongolia,mining,datahub
slovakia,education and training,datahub
switzerland,"metals, minerals and materials",datahub
switzerland,healthcare and medical,datahub
thailand,defence,datahub
bangladesh,biotechnology and pharmaceuticals : pharmaceuticals,datahub
belgium,defence,datahub
japan,food and drink,datahub
france,defence,datahub
greece,education and training,datahub
denmark,business (and consumer) services : hr services,datahub
trinidad and tobago,healthcare and medical,datahub
turkey,defence,datahub
taiwan,mechanical electrical and process engineering,datahub
south korea,business (and consumer) services,datahub
united arab emirates,food and drink,datahub
india,financial services (including professional services),datahub
egypt,retail,datahub
india,creative and media,datahub
spain,food and drink,datahub
france,communications,datahub
estonia,education and training,datahub
france,business (and consumer) services,datahub
bangladesh,financial services (including professional services),datahub
japan,healthcare and medical,datahub
france,healthcare and medical,datahub
germany,leisure and tourism,datahub
germany,"giftware, jewellery and tableware",datahub
mexico,financial services (including professional services) : technology,datahub
united arab emirates,energy,datahub
united states,advanced engineering,datahub
sweden,railways,datahub
austria,railways,datahub
norway,healthcare and medical,datahub
russia,food and drink,datahub
denmark,retail,datahub
russia,financial services (including professional services),datahub
united states,business (and consumer) services,datahub
united states,security,datahub
united states,"clothing, footwear and fashion",datahub
japan,"clothing, footwear and fashion",datahub
ireland,leisure and tourism : sports and leisure infrastructure,datahub
poland,healthcare and medical,datahub
mexico,railways,datahub
qatar,security,datahub
qatar,global sports projects,datahub
romania,education and training,datahub
romania,security,datahub
russia,construction,datahub
sweden,financial services (including professional services),datahub
russia,"household goods, furniture and furnishings",datahub
united states,ict,datahub
turkey,financial services (including professional services),datahub
saudi arabia,financial services (including professional services),datahub
austria,education and training,datahub
united states,communications,datahub
netherlands,"creative and media : art, design and creativity",datahub
united arab emirates,education and training,datahub
nigeria,oil and gas,datahub
hong kong,creative and media,datahub
norway,"clothing, footwear and fashion",datahub
vietnam,education and training,datahub
united states,food and drink,datahub
singapore,financial services (including professional services),datahub
india,business (and consumer) services,datahub
bosnia and herzegovina,power,datahub
brazil,ict,datahub
south korea,"clothing, footwear and fashion",datahub
sri lanka,construction,datahub
oman,financial services (including professional services),datahub
israel,education and training,datahub
lithuania,life sciences,datahub
south korea,biotechnology and pharmaceuticals : pharmaceuticals : drug discovery,datahub
japan,power : nuclear,datahub
canada,construction,datahub
ireland,healthcare and medical,datahub
china,education and training,datahub
china,food and drink,datahub
china,aerospace,datahub
japan,healthcare and medical,datahub
south africa,food and drink : meat products,datahub
japan,defence,datahub
china,financial services (including professional services),datahub
japan,automotive : component manufacturing,datahub
singapore,"clothing, footwear and fashion",datahub
slovakia,business (and consumer) services,datahub
czechia,"clothing, footwear and fashion",datahub
poland,retail,datahub
south korea,electronics and it hardware,datahub
ecuador,education and training,datahub
switzerland,mechanical electrical and process engineering,datahub
switzerland,healthcare and medical,datahub
thailand,security,datahub
austria,food and drink,datahub
belgium,defence,datahub
brazil,environment : air pollution and noise control,datahub
japan,"clothing, footwear and fashion",datahub
japan,food and drink,datahub
egypt,oil and gas,datahub
norway,security,datahub
ukraine,food and drink,datahub
slovenia,power : nuclear,datahub
taiwan,railways,datahub
taiwan,railways,datahub
mexico,"giftware, jewellery and tableware",datahub
poland,business (and consumer) services,datahub
colombia,biotechnology and pharmaceuticals,datahub
kenya,automotive,datahub
india,software and computer services business to business (b2b),datahub
egypt,financial services (including professional services),datahub
ireland,"metals, minerals and materials",datahub
spain,education and training,datahub
france,renewable energy,datahub
italy,healthcare and medical,datahub
germany,biotechnology and pharmaceuticals,datahub
france,education and training,datahub
japan,food and drink,datahub
france,mechanical electrical and process engineering,datahub
japan,food and drink,datahub
germany,leisure and tourism,datahub
united states,aerospace,datahub
finland,automotive : component manufacturing,datahub
philippines,aerospace,datahub
vietnam,food and drink,datahub
switzerland,electronics and it hardware,datahub
china,biotechnology and pharmaceuticals,datahub
belgium,defence,datahub
russia,advanced engineering,datahub
united arab emirates,business (and consumer) services,datahub
saudi arabia,energy,datahub
united states,creative and media,datahub
united states,healthcare and medical,datahub
philippines,creative and media,datahub
austria,security : cyber security,datahub
mexico,financial services (including professional services) : insurance,datahub
qatar,oil and gas,datahub
romania,education and training,datahub
romania,"clothing, footwear and fashion",datahub
russia,mechanical electrical and process engineering,datahub
russia,biotechnology and pharmaceuticals,datahub
portugal,biotechnology and pharmaceuticals,datahub
united states,ict,datahub
kenya,construction,datahub
uganda,financial services (including professional services) : banking : commercial banking,datahub
singapore,software and computer services business to business (b2b),datahub
spain,railways,datahub
india,construction,datahub
norway,oil and gas,datahub
mexico,advanced engineering,datahub
hungary,"household goods, furniture and furnishings",datahub
india,automotive,datahub
india,business (and consumer) services,datahub
latvia,education and training,datahub
united states,financial services (including professional services) : insurance,datahub
italy,food and drink : beverages and alcoholic drinks,datahub
brazil,healthcare and medical,datahub
hong kong,software and computer services business to business (b2b),datahub
